Tag	C1	C2	P.value
FIBP	9	0	0.00405075504981407
FIGNL1	8	1	0.0399843420336388
GEMIN5	8	1	0.0399843420336388
GPR182	8	1	0.0399843420336388
GPR6	8	1	0.0399843420336388
HIP1R	8	1	0.0399843420336388
ILDR2	8	1	0.0399843420336388
KCNG4	8	1	0.0399843420336388
KIAA0226	8	1	0.0399843420336388
KIAA0355	8	1	0.0399843420336388
KIF9	8	1	0.0399843420336388
KLHL28	8	1	0.0399843420336388
MAB21L2	8	1	0.0399843420336388
MAP3K19	7	0	0.0159790015366973
MAP9	8	0	0.00804337582579459
MSH3	8	0	0.00804337582579459
MTSS1L	8	1	0.0399843420336388
MUC15	8	1	0.0399843420336388
NEDD9	8	1	0.0399843420336388
NLGN3	8	1	0.0399843420336388
OSBP	9	0	0.00405075504981407
POLK	7	0	0.0159790015366973
POTEC	8	1	0.0399843420336388
PPARGC1B	8	0	0.00804337582579459
PPRC1	8	1	0.0399843420336388
PRPF6	8	1	0.0399843420336388
PTK2	8	1	0.0399843420336388
PTOV1	8	1	0.0399843420336388
RAI14	9	0	0.00405075504981407
RFC1	9	0	0.00405075504981407
RNF165	8	1	0.0399843420336388
SENP3	8	1	0.0399843420336388
SERPINI2	8	1	0.0399843420336388
SIK2	8	1	0.0399843420336388
SLC3A1	8	1	0.0399843420336388
SMARCA1	8	0	0.00804337582579459
SP110	8	1	0.0399843420336388
SPATA16	9	0	0.00405075504981407
SREBF2	7	0	0.0159790015366973
STRN	8	1	0.0399843420336388
STXBP2	8	1	0.0399843420336388
SYTL2	8	1	0.0399843420336388
TKTL1	8	1	0.0399843420336388
TNFRSF9	9	0	0.00405075504981407
TRIM26	8	1	0.0399843420336388
TRIM6	8	1	0.0399843420336388
TRPM5	8	1	0.0399843420336388
USP8	8	0	0.00804337582579459
ZBTB14	8	1	0.0399843420336388
ZFYVE9	8	1	0.0399843420336388
ZNF438	8	0	0.00804337582579459
ZNF551	8	1	0.0399843420336388
ZNF560	7	0	0.0159790015366973
ZNF750	8	1	0.0399843420336388
ABR	7	0	0.0159790015366973
ADCK3	8	0	0.00804337582579459
ADGRB2	6	0	0.0317645671459841
ANKEF1	8	0	0.00804337582579459
BPIFB4	8	0	0.00804337582579459
CA10	7	0	0.0159790015366973
CLIC5	8	0	0.00804337582579459
CPNE6	8	0	0.00804337582579459
CYP17A1	6	0	0.0317645671459841
EIF3A	8	0	0.00804337582579459
EIF4G2	8	0	0.00804337582579459
ELAVL4	7	0	0.0159790015366973
EML3	8	0	0.00804337582579459
ERCC5	6	0	0.0317645671459841
FASTKD3	7	0	0.0159790015366973
FOXD4L5	8	0	0.00804337582579459
FYB	8	0	0.00804337582579459
FZR1	8	0	0.00804337582579459
HAPLN4	7	0	0.0159790015366973
HOOK3	7	0	0.0159790015366973
ILVBL	7	0	0.0159790015366973
IRS2	6	0	0.0317645671459841
KIF5B	7	0	0.0159790015366973
KRTAP10-4	8	0	0.00804337582579459
LHFPL3	8	0	0.00804337582579459
LONP2	8	0	0.00804337582579459
MAST1	8	0	0.00804337582579459
MECP2	7	0	0.0159790015366973
NGF	8	0	0.00804337582579459
NLRP10	7	0	0.0159790015366973
NR2F1	7	0	0.0159790015366973
NSUN2	7	0	0.0159790015366973
OR10AG1	7	0	0.0159790015366973
PBXIP1	8	0	0.00804337582579459
PCCA	8	0	0.00804337582579459
PHKG2	8	0	0.00804337582579459
PLEKHH1	8	0	0.00804337582579459
PRAMEF12	8	0	0.00804337582579459
PRR16	7	0	0.0159790015366973
RC3H2	7	0	0.0159790015366973
RCC2	7	0	0.0159790015366973
RNF144A	8	0	0.00804337582579459
RNF220	8	0	0.00804337582579459
RPL10L	8	0	0.00804337582579459
SEPT14	8	0	0.00804337582579459
SLC18A1	7	0	0.0159790015366973
SLC2A3	8	0	0.00804337582579459
SLC6A4	8	0	0.00804337582579459
SYMPK	8	0	0.00804337582579459
SYNJ1	8	0	0.00804337582579459
TAF1C	6	0	0.0317645671459841
TRIM28	8	0	0.00804337582579459
TRIM45	7	0	0.0159790015366973
USP44	8	0	0.00804337582579459
VAV2	6	0	0.0317645671459841
WDR3	7	0	0.0159790015366973
ZBTB5	6	0	0.0317645671459841
ZNF618	7	0	0.0159790015366973
ZNF721	6	0	0.0317645671459841
ZSWIM4	8	0	0.00804337582579459
ACAD11	7	0	0.0159790015366973
AGAP6	7	0	0.0159790015366973
AMOTL1	7	0	0.0159790015366973
ANKLE2	7	0	0.0159790015366973
ARMT1	7	0	0.0159790015366973
BRD7	7	0	0.0159790015366973
C18orf8	7	0	0.0159790015366973
C1orf141	6	0	0.0317645671459841
C7orf26	6	0	0.0317645671459841
CAMK1G	7	0	0.0159790015366973
CCT8	6	0	0.0317645671459841
CEL	7	0	0.0159790015366973
CFHR1	6	0	0.0317645671459841
CIZ1	7	0	0.0159790015366973
COPS2	7	0	0.0159790015366973
CYP2B6	6	0	0.0317645671459841
CYP4F8	6	0	0.0317645671459841
DENND5B	7	0	0.0159790015366973
DNMT3L	6	0	0.0317645671459841
FDXR	7	0	0.0159790015366973
FFAR4	7	0	0.0159790015366973
FKBP8	6	0	0.0317645671459841
FPGS	7	0	0.0159790015366973
GK2	7	0	0.0159790015366973
GLCE	6	0	0.0317645671459841
GP5	7	0	0.0159790015366973
GPR82	7	0	0.0159790015366973
GUSB	6	0	0.0317645671459841
HCN2	7	0	0.0159790015366973
HPSE	6	0	0.0317645671459841
HYAL2	7	0	0.0159790015366973
IGFBP1	7	0	0.0159790015366973
INCENP	7	0	0.0159790015366973
INSC	7	0	0.0159790015366973
IQUB	6	0	0.0317645671459841
KATNA1	6	0	0.0317645671459841
KCNAB1	7	0	0.0159790015366973
KDM1B	7	0	0.0159790015366973
KIAA0368	7	0	0.0159790015366973
KIAA1958	7	0	0.0159790015366973
KIF18B	7	0	0.0159790015366973
KIF19	7	0	0.0159790015366973
KLHDC7B	7	0	0.0159790015366973
KSR1	7	0	0.0159790015366973
LAMP3	6	0	0.0317645671459841
LCA5	6	0	0.0317645671459841
LMOD1	6	0	0.0317645671459841
LRFN1	7	0	0.0159790015366973
LRIF1	7	0	0.0159790015366973
LRP10	7	0	0.0159790015366973
LRRC66	7	0	0.0159790015366973
LRWD1	6	0	0.0317645671459841
LYN	7	0	0.0159790015366973
MCM7	6	0	0.0317645671459841
MEPCE	6	0	0.0317645671459841
MMS19	6	0	0.0317645671459841
MPHOSPH10	6	0	0.0317645671459841
MRC2	7	0	0.0159790015366973
MYBPC1	7	0	0.0159790015366973
NAA15	6	0	0.0317645671459841
NFIB	7	0	0.0159790015366973
NKTR	6	0	0.0317645671459841
NOC3L	6	0	0.0317645671459841
NR0B1	6	0	0.0317645671459841
OR2J2	6	0	0.0317645671459841
OR51B6	6	0	0.0317645671459841
OR9K2	6	0	0.0317645671459841
PCDHGA9	6	0	0.0317645671459841
PGBD5	7	0	0.0159790015366973
pk	6	0	0.0317645671459841
POU3F4	7	0	0.0159790015366973
PPP1R3B	6	0	0.0317645671459841
PRAMEF17	7	0	0.0159790015366973
PUS3	7	0	0.0159790015366973
RAB11FIP3	7	0	0.0159790015366973
RALGDS	7	0	0.0159790015366973
RFWD2	7	0	0.0159790015366973
RHO	7	0	0.0159790015366973
RNF19B	7	0	0.0159790015366973
RP11-385D13.1	6	0	0.0317645671459841
RTN1	7	0	0.0159790015366973
SASH3	7	0	0.0159790015366973
SHROOM1	6	0	0.0317645671459841
SLAMF1	7	0	0.0159790015366973
SLC22A3	7	0	0.0159790015366973
SLC6A18	7	0	0.0159790015366973
SLC9A8	7	0	0.0159790015366973
SLC9A9	6	0	0.0317645671459841
SPPL2B	7	0	0.0159790015366973
SPPL3	7	0	0.0159790015366973
STAT1	7	0	0.0159790015366973
STK31	6	0	0.0317645671459841
STX16	7	0	0.0159790015366973
SYTL5	7	0	0.0159790015366973
TAF6L	6	0	0.0317645671459841
TAS1R1	6	0	0.0317645671459841
TBC1D10C	6	0	0.0317645671459841
TMPRSS13	7	0	0.0159790015366973
TRAPPC12	7	0	0.0159790015366973
TRIM2	0	7	0.00461232349709827
TRPV6	7	0	0.0159790015366973
TTC7A	7	0	0.0159790015366973
USP3	7	0	0.0159790015366973
VCAM1	7	0	0.0159790015366973
VWCE	7	0	0.0159790015366973
WDR53	6	0	0.0317645671459841
ZNF180	7	0	0.0159790015366973
ZNF214	6	0	0.0317645671459841
ZNF324	7	0	0.0159790015366973
ZNF418	7	0	0.0159790015366973
ZNF441	7	0	0.0159790015366973
ZNF483	6	0	0.0317645671459841
ZNF490	6	0	0.0317645671459841
ADRB1	6	0	0.0317645671459841
AFAP1L2	6	0	0.0317645671459841
ALKBH1	6	0	0.0317645671459841
APBB3	6	0	0.0317645671459841
BIVM-ERCC5	6	0	0.0317645671459841
C17orf47	6	0	0.0317645671459841
CATSPER3	6	0	0.0317645671459841
CATSPER4	6	0	0.0317645671459841
CBLN1	6	0	0.0317645671459841
CCDC102B	6	0	0.0317645671459841
CCDC142	6	0	0.0317645671459841
CCDC91	6	0	0.0317645671459841
CHEK1	6	0	0.0317645671459841
CHRNG	6	0	0.0317645671459841
CHST12	6	0	0.0317645671459841
CHSY1	6	0	0.0317645671459841
CLDN9	6	0	0.0317645671459841
CLEC1A	6	0	0.0317645671459841
CNDP1	6	0	0.0317645671459841
CPZ	6	0	0.0317645671459841
CREB3L3	6	0	0.0317645671459841
CSNK1E	6	0	0.0317645671459841
CTAGE9	6	0	0.0317645671459841
CTBP2	6	0	0.0317645671459841
CUEDC1	6	0	0.0317645671459841
CYP20A1	6	0	0.0317645671459841
DCAF4	6	0	0.0317645671459841
DCAF5	6	0	0.0317645671459841
DNAH6	6	0	0.0317645671459841
DPP4	6	0	0.0317645671459841
ERMARD	6	0	0.0317645671459841
FBXO32	6	0	0.0317645671459841
FKBP15	6	0	0.0317645671459841
FLAD1	6	0	0.0317645671459841
FMO2	6	0	0.0317645671459841
FOXB1	6	0	0.0317645671459841
GALNT2	6	0	0.0317645671459841
GATA2	6	0	0.0317645671459841
GCG	6	0	0.0317645671459841
GLDN	6	0	0.0317645671459841
GNA14	6	0	0.0317645671459841
HAND2	6	0	0.0317645671459841
HPS4	6	0	0.0317645671459841
HSPA4	6	0	0.0317645671459841
HTR3E	6	0	0.0317645671459841
IFFO1	6	0	0.0317645671459841
IGHA1	6	0	0.0317645671459841
IGLV1-51	6	0	0.0317645671459841
IHH	6	0	0.0317645671459841
IKBKB	6	0	0.0317645671459841
ITIH4	6	0	0.0317645671459841
KCNJ10	6	0	0.0317645671459841
KIAA1551	6	0	0.0317645671459841
KRT27	6	0	0.0317645671459841
KRT33B	6	0	0.0317645671459841
LBP	6	0	0.0317645671459841
LOXL4	6	0	0.0317645671459841
MAK16	6	0	0.0317645671459841
MAN1C1	6	0	0.0317645671459841
MAP4K2	6	0	0.0317645671459841
MAPK10	6	0	0.0317645671459841
MCHR1	6	0	0.0317645671459841
MEGF11	6	0	0.0317645671459841
MKS1	6	0	0.0317645671459841
MMP21	6	0	0.0317645671459841
MTHFD2L	6	0	0.0317645671459841
MUC7	6	0	0.0317645671459841
MYADM	6	0	0.0317645671459841
MYO1D	6	0	0.0317645671459841
NADSYN1	6	0	0.0317645671459841
NCKIPSD	6	0	0.0317645671459841
NCOA4	6	0	0.0317645671459841
NKRF	6	0	0.0317645671459841
NOP56	6	0	0.0317645671459841
NPTN	6	0	0.0317645671459841
NTM	6	0	0.0317645671459841
NTN1	6	0	0.0317645671459841
OR14C36	6	0	0.0317645671459841
OR52R1	6	0	0.0317645671459841
OR9G4	6	0	0.0317645671459841
PCBP3	6	0	0.0317645671459841
PDK4	6	0	0.0317645671459841
PIP4K2A	6	0	0.0317645671459841
PLCD1	6	0	0.0317645671459841
PMEPA1	6	0	0.0317645671459841
PNLIPRP2	6	0	0.0317645671459841
PPARGC1A	6	0	0.0317645671459841
PSAP	6	0	0.0317645671459841
PTGES3L-AARSD1	6	0	0.0317645671459841
PTPN7	6	0	0.0317645671459841
RAB11FIP5	6	0	0.0317645671459841
RAB34	6	0	0.0317645671459841
RABL6	6	0	0.0317645671459841
RBAK	6	0	0.0317645671459841
RBM43	6	0	0.0317645671459841
RHBG	6	0	0.0317645671459841
RNF32	6	0	0.0317645671459841
RP11-468E2.1	6	0	0.0317645671459841
RPS6KA3	6	0	0.0317645671459841
RTFDC1	6	0	0.0317645671459841
RTN4RL1	6	0	0.0317645671459841
RXRA	6	0	0.0317645671459841
SELO	6	0	0.0317645671459841
SETD3	6	0	0.0317645671459841
SETD6	6	0	0.0317645671459841
SFPQ	6	0	0.0317645671459841
SIGLEC7	6	0	0.0317645671459841
SIPA1	6	0	0.0317645671459841
SLC12A4	6	0	0.0317645671459841
SLC22A12	6	0	0.0317645671459841
SLC24A3	6	0	0.0317645671459841
SLC44A3	6	0	0.0317645671459841
SNAPC1	6	0	0.0317645671459841
SNRPD2	6	0	0.0317645671459841
SRL	6	0	0.0317645671459841
SSTR5	6	0	0.0317645671459841
ST6GALNAC3	6	0	0.0317645671459841
STARD8	6	0	0.0317645671459841
STAT5A	6	0	0.0317645671459841
STRIP1	6	0	0.0317645671459841
TBX21	6	0	0.0317645671459841
TCF4	6	0	0.0317645671459841
TDRD9	6	0	0.0317645671459841
TFIP11	6	0	0.0317645671459841
TIPARP	6	0	0.0317645671459841
TLE6	6	0	0.0317645671459841
TLR7	6	0	0.0317645671459841
TMEM109	6	0	0.0317645671459841
TMEM74	6	0	0.0317645671459841
TMEM8A	6	0	0.0317645671459841
TSC22D1	6	0	0.0317645671459841
UBTF	6	0	0.0317645671459841
UGT1A6	6	0	0.0317645671459841
UNC45A	6	0	0.0317645671459841
VWA1	6	0	0.0317645671459841
WDR1	6	0	0.0317645671459841
WNT1	6	0	0.0317645671459841
WNT10A	6	0	0.0317645671459841
WSB1	6	0	0.0317645671459841
ZFP36L1	6	0	0.0317645671459841
ZNF41	6	0	0.0317645671459841
ZNF451	6	0	0.0317645671459841
ZNF681	6	0	0.0317645671459841
ZNF768	6	0	0.0317645671459841
ZNF816	6	0	0.0317645671459841
ZNF84	6	0	0.0317645671459841
ZXDC	6	0	0.0317645671459841
CFAP57	0	5	0.0218113851548258
HCRTR1	0	5	0.0218113851548258
NECAP1	0	5	0.0218113851548258
PLD3	0	5	0.0218113851548258
CPLX1	0	4	0.0471894119072962
PARP11	0	4	0.0471894119072962
PBX3	0	4	0.0471894119072962
RASL11A	0	4	0.0471894119072962
