Tag	p.value	HR	Low 95%CI	High 95%CI
PDE1A	0.201	1.154	0.927	1.436
S1PR1	0.406	1.085	0.895	1.315
DNM1	0.647	1.039	0.881	1.226
SSC5D	0.262	1.079	0.945	1.231
PNRC1	0.291	1.213	0.848	1.737
DUSP22	0.872	1.026	0.752	1.401
KCNH2	0.563	1.036	0.919	1.167
CHSY3	0.169	1.215	0.92	1.605
GIPC3	0.105	1.31	0.945	1.814
EGFL7	0.192	1.15	0.932	1.42
MPP7	0.844	1.016	0.866	1.193
TCEA2	0.132	1.176	0.952	1.454
EDA2R	0.645	1.064	0.818	1.383
WSCD2	0.129	1.13	0.965	1.322
NDUFB3	0.676	1.094	0.718	1.668
ATP5MF	0.358	1.147	0.856	1.537
CCDC50	0.448	1.116	0.84	1.484
DTNA	0.327	1.094	0.914	1.309
MAPRE2	0.899	0.982	0.746	1.293
TXNDC15	0.522	1.123	0.787	1.601
SPACA9	0.377	1.135	0.857	1.504
GPSM1	0.294	1.102	0.919	1.322
FLT4	0.128	1.229	0.942	1.602
AKT3	0.09	1.173	0.976	1.409
ARNT2	0.592	0.959	0.824	1.117
NYNRIN	0.455	1.07	0.896	1.277
OPN1SW	0.187	1.196	0.917	1.56
ZNF415	0.906	1.013	0.822	1.247
PTN	0.851	1.015	0.866	1.191
GABARAPL1	0.095	1.228	0.965	1.561
LYNX1	0.225	1.07	0.959	1.194
TMEM200A	0.042	1.183	1.006	1.391
TMTC1	0.024	1.204	1.025	1.415
ISL1	0.827	0.98	0.821	1.171
CHST10	0.171	1.179	0.931	1.494
C1QTNF6	0.526	1.072	0.865	1.33
PTHLH	0.22	1.148	0.921	1.43
ACTN1	0.385	1.092	0.896	1.33
SEMA4C	0.098	1.218	0.964	1.539
LGI4	0.123	1.191	0.954	1.488
THBS4	0.524	1.028	0.945	1.118
LXN	0.412	1.085	0.893	1.319
COX4I2	0.356	1.14	0.863	1.507
TCEAL4	0.089	1.24	0.968	1.588
PBXIP1	0.911	1.014	0.796	1.292
TRPS1	0.159	1.145	0.949	1.381
BTC	0.999	1	0.814	1.228
ZNF677	0.329	1.136	0.879	1.467
ZDBF2	0.187	1.165	0.929	1.463
SNTA1	0.215	1.125	0.934	1.355
FN1	0.117	1.099	0.977	1.238
CRISPLD2	0.143	1.144	0.956	1.369
MS4A2	0.363	1.114	0.882	1.408
ARL10	0.53	1.099	0.819	1.475
RHOJ	0.419	1.087	0.888	1.329
ZNF610	0.56	1.093	0.81	1.474
ASB16	0.415	0.86	0.6	1.235
WNT2	0.487	1.052	0.911	1.215
ZNF418	0.565	0.921	0.694	1.221
PCDHGC3	0.607	1.051	0.87	1.269
VAMP2	0.789	1.048	0.745	1.473
FZD8	0.851	1.017	0.852	1.215
OSBPL1A	0.004	1.395	1.114	1.746
TUBA1A	0.242	1.101	0.937	1.294
IGF2	0.746	1.014	0.932	1.102
CSRP1	0.538	1.052	0.895	1.238
PCDHGA9	0.192	1.247	0.895	1.737
TRIL	0.278	1.108	0.921	1.334
NME5	0.042	1.415	1.013	1.977
FES	0.342	1.121	0.886	1.419
ITGBL1	0.182	1.101	0.956	1.268
SLC24A3	0.342	1.084	0.918	1.279
BCAM	0.172	1.104	0.958	1.273
LZTS1	0.118	1.169	0.961	1.422
HIC1	0.494	1.073	0.877	1.314
CACNB3	0.029	1.403	1.034	1.904
CRACR2B	0.134	0.869	0.723	1.044
LRRC2	0.169	0.827	0.63	1.084
NTN1	0.371	1.066	0.927	1.227
DGKG	0.282	1.121	0.91	1.382
CDK20	0.697	1.052	0.816	1.356
ARHGAP29	0.035	1.342	1.021	1.765
YPEL5	0.224	1.278	0.861	1.896
FOXC2	0.069	1.177	0.987	1.402
CD276	0.609	1.061	0.845	1.334
CCDC8	0.255	1.088	0.941	1.258
RHOQ	0.281	1.178	0.874	1.588
ARHGEF15	0.273	1.146	0.898	1.462
ABLIM3	0.115	1.153	0.966	1.376
ZFP2	0.814	1.047	0.714	1.537
PPP1R3C	0.145	1.109	0.965	1.275
SLC27A1	0.926	0.987	0.753	1.293
GPX8	0.151	1.151	0.95	1.396
TRAM1L1	0.592	1.082	0.811	1.442
MAP2	0.027	1.242	1.025	1.505
SRPX2	0.108	1.168	0.966	1.411
STK32B	0.154	1.22	0.928	1.604
NPY	0.553	1.046	0.901	1.215
NTN4	0.156	1.151	0.947	1.399
NME1	0.468	1.102	0.848	1.431
FIGN	0.248	1.171	0.896	1.532
CAPN6	0.192	1.067	0.968	1.175
ST5	0.913	0.985	0.744	1.302
NAALADL1	0.696	1.043	0.844	1.289
SLC16A2	0.483	1.052	0.913	1.213
SYDE2	0.494	1.082	0.863	1.358
RASL11B	0.165	1.136	0.949	1.36
F13A1	0.06	1.122	0.995	1.265
TMEM59L	0.104	1.175	0.967	1.427
CCDC71L	0.719	1.05	0.804	1.372
SCARF2	0.502	1.056	0.9	1.239
KIT	0.21	1.112	0.942	1.314
GPX7	0.193	1.132	0.939	1.365
CORO2B	0.11	1.188	0.962	1.469
SEMA3E	0.098	1.139	0.977	1.328
COL15A1	0.371	1.08	0.912	1.278
EPM2A	0.414	1.113	0.861	1.437
RECK	0.096	1.212	0.966	1.519
AVPR1A	0.329	1.122	0.891	1.413
SHE	0.299	1.152	0.882	1.506
DTX3	0.3	1.101	0.918	1.32
PCDHB4	0.095	1.211	0.967	1.517
ZNF846	0.79	1.05	0.733	1.505
MANF	0.76	1.05	0.769	1.432
SCG5	0.394	1.088	0.896	1.321
MYEF2	0.653	1.043	0.869	1.25
CAMK1	0.79	1.04	0.781	1.385
PTGER2	0.305	1.088	0.926	1.28
SEMA6D	0.155	1.164	0.944	1.434
HECW2	0.223	1.193	0.898	1.585
KCNQ4	0.546	1.061	0.875	1.286
VWF	0.067	1.19	0.988	1.433
VSTM4	0.391	1.086	0.899	1.313
PALM	0.324	1.076	0.93	1.246
EBP	0.679	0.952	0.753	1.202
CHST12	0.333	1.219	0.816	1.821
MACF1	0.756	1.037	0.824	1.305
ARMCX1	0.04	1.216	1.009	1.466
BDKRB1	0.532	1.085	0.84	1.403
PRKACA	0.716	0.929	0.624	1.383
FOXF2	0.964	1.004	0.859	1.172
SFRP4	0.481	1.031	0.947	1.123
FAM167B	0.853	1.026	0.785	1.339
ZNF347	0.626	0.945	0.752	1.187
LRRC15	0.788	1.018	0.895	1.158
SYNDIG1	0.488	1.069	0.886	1.29
CNIH3	0.631	0.914	0.632	1.321
ATP5MPL	0.091	1.367	0.951	1.965
TUBB6	0.127	1.151	0.961	1.378
MEOX2	0.235	1.099	0.941	1.283
FRMD4A	0.846	1.03	0.766	1.385
EIF4EBP1	0.772	1.034	0.825	1.296
TEAD2	0.791	1.026	0.848	1.241
ZFHX4	0.164	1.143	0.947	1.379
LIMS2	0.42	1.062	0.917	1.231
SAMD4A	0.333	1.106	0.902	1.356
CRYAB	0.126	1.099	0.974	1.24
STEAP4	0.059	1.158	0.995	1.348
DCLK2	0.245	1.122	0.924	1.363
SLITRK6	0.325	1.094	0.915	1.309
SOBP	0.78	1.026	0.856	1.23
RAB12	0.742	1.051	0.782	1.413
NGF	0.001	1.449	1.155	1.819
VIPR2	0.33	1.122	0.89	1.415
HMCN1	0.259	1.114	0.924	1.343
GASK1B	0.153	1.149	0.95	1.39
LOXL2	0.347	1.104	0.899	1.356
BVES	0.797	1.021	0.873	1.194
ATOH8	0.912	0.987	0.781	1.247
DAAM1	0.151	1.28	0.914	1.792
C16orf86	0.742	1.069	0.718	1.593
CLGN	0.052	1.218	0.998	1.486
JHY	0.019	1.354	1.05	1.745
HOXB4	0.764	0.969	0.79	1.189
HSPB6	0.31	1.039	0.965	1.118
ADGRL3	0.447	1.105	0.854	1.43
NOS3	0.018	1.34	1.052	1.707
ABL1	0.983	1.003	0.758	1.327
SRR	0.338	0.821	0.548	1.229
HECTD2	0.263	1.179	0.884	1.572
SEMA6C	0.184	1.159	0.932	1.443
ZSWIM4	0.635	0.937	0.718	1.224
DCP1B	0.881	1.025	0.744	1.411
L3MBTL3	0.07	1.326	0.977	1.799
CHCHD2	0.404	1.182	0.798	1.75
VIM	0.14	1.177	0.948	1.463
CD93	0.298	1.114	0.909	1.367
C11orf68	0.362	1.157	0.845	1.585
DPY30	0.628	1.111	0.725	1.702
SNX18	0.368	1.135	0.861	1.497
NEDD9	0.554	1.07	0.855	1.339
NCKAP5L	0.208	1.186	0.909	1.547
INMT	0.312	1.085	0.926	1.271
NUMBL	0.181	1.189	0.923	1.532
IL3RA	0.577	0.927	0.711	1.21
HTRA1	0.055	1.2	0.996	1.444
PER1	0.03	1.214	1.019	1.445
HHIPL1	0.96	0.993	0.758	1.301
YBX3	0.118	1.288	0.938	1.769
SPOCD1	0.48	1.119	0.819	1.528
DIRAS3	0.349	1.093	0.908	1.315
MID2	0.019	1.254	1.037	1.515
ADAMTSL3	0.104	1.173	0.968	1.421
SHF	0.831	1.023	0.831	1.259
TLN1	0.665	1.052	0.836	1.324
CPXM1	0.612	1.038	0.899	1.199
CAVIN2	0.339	1.067	0.934	1.218
CYYR1	0.331	1.122	0.89	1.415
DCBLD2	0.032	1.217	1.017	1.457
B3GNT9	0.51	1.09	0.843	1.409
TSPAN11	0.731	0.969	0.807	1.162
LAD1	0.96	1.004	0.85	1.186
FMNL3	0.852	1.024	0.8	1.31
SLCO3A1	0.747	1.032	0.853	1.248
TNFAIP6	0.772	1.024	0.871	1.204
COL4A5	0.035	1.176	1.012	1.366
MOCS1	0.067	1.234	0.986	1.546
FXYD1	0.264	1.15	0.9	1.471
ANOS1	0.114	1.175	0.962	1.434
ZFPM2	0.106	1.197	0.963	1.49
AFAP1	0.243	1.164	0.902	1.503
KLF2	0.306	1.095	0.92	1.304
RAB2B	0.957	0.988	0.645	1.514
PCDHB7	0.532	1.088	0.835	1.416
JCAD	0.025	1.221	1.025	1.455
FLNC	0.252	1.05	0.966	1.142
OLFML1	0.309	1.115	0.904	1.375
CERK	0.958	0.993	0.775	1.273
ADAM23	0.232	1.132	0.924	1.388
LOXL4	0.055	1.15	0.997	1.327
PCDH7	0.01	1.198	1.045	1.374
PNKD	0.777	1.036	0.813	1.32
TACR2	0.238	1.057	0.964	1.159
ITGA7	0.938	1.006	0.865	1.169
COL6A1	0.39	1.08	0.906	1.287
KCNS3	0.15	1.139	0.954	1.361
BACE1	0.301	1.145	0.886	1.48
CPT1C	0.189	1.149	0.934	1.415
TGFB1	0.054	1.252	0.996	1.574
ARSI	0.398	1.085	0.898	1.312
TMEM141	0.456	1.093	0.866	1.379
CRIP2	0.402	1.101	0.879	1.38
RGS16	0.362	1.087	0.908	1.301
PI16	0.78	1.017	0.905	1.142
GPLD1	0.975	0.994	0.672	1.471
SNAI1	0.114	1.176	0.962	1.437
LOXL1	0.416	1.083	0.894	1.313
COL11A1	0.258	1.067	0.954	1.193
NR2F2	0.561	1.065	0.861	1.319
COL4A4	0.825	0.98	0.821	1.17
FSTL1	0.262	1.108	0.926	1.327
ZNF134	0.473	1.072	0.886	1.298
OSMR	0.285	1.107	0.919	1.332
PCDHB12	0.185	1.217	0.91	1.626
TYRP1	0.975	1.003	0.854	1.177
DKK3	0.595	1.053	0.87	1.275
ARRB1	0.701	0.951	0.735	1.23
NXN	0.131	1.151	0.959	1.38
NOTCH3	0.125	1.162	0.959	1.407
COL5A2	0.14	1.131	0.96	1.331
EPM2AIP1	0.289	1.13	0.902	1.416
SCN1B	0.551	1.076	0.845	1.372
COL3A1	0.261	1.08	0.944	1.236
BDKRB2	0.841	1.023	0.817	1.281
MITF	0.339	1.116	0.891	1.4
C1orf53	0.52	1.086	0.845	1.395
AASS	0.14	1.203	0.941	1.537
ELF3	0.636	0.958	0.803	1.143
ADAMTS12	0.308	1.09	0.924	1.286
RORA	0.745	1.048	0.792	1.385
PCDHB3	0.575	1.076	0.833	1.388
SPOCK1	0.293	1.064	0.948	1.193
ALPK3	0.37	1.073	0.92	1.251
PIFO	0.18	1.138	0.942	1.376
SMOC2	0.214	1.075	0.959	1.204
SMIM3	0.283	1.111	0.916	1.348
VEGFB	0.034	1.322	1.022	1.71
PKIA	0.061	1.193	0.992	1.436
CCDC88A	0.18	1.18	0.927	1.502
RAB3C	0.302	1.124	0.9	1.402
SLC25A23	0.832	0.976	0.78	1.221
PAPSS2	0.391	1.087	0.899	1.314
PPP2R3A	0.085	1.192	0.976	1.456
C4orf3	0.169	1.273	0.902	1.797
SH3PXD2B	0.44	1.085	0.882	1.334
PRELP	0.232	1.061	0.963	1.169
CD34	0.235	1.153	0.912	1.456
NMNAT2	0.148	1.133	0.957	1.342
PRUNE2	0.719	1.019	0.92	1.129
C6orf136	0.996	0.999	0.719	1.389
P3H2	0.009	1.219	1.05	1.415
C1GALT1C1L	0.222	1.131	0.928	1.377
RRAD	0.041	1.151	1.006	1.316
DIPK2B	0.112	1.219	0.955	1.556
DUSP26	0.081	1.231	0.975	1.555
TRO	0.22	1.173	0.909	1.512
SEMA6A	0.107	1.129	0.974	1.31
DNAJC18	0.352	1.155	0.852	1.565
SPARC	0.06	1.18	0.993	1.401
PPP1R18	0.973	1.004	0.788	1.28
PPP1R12C	0.882	1.02	0.789	1.317
PODNL1	0.343	1.094	0.908	1.319
PHYHIP	0.005	1.502	1.133	1.99
MAP1B	0.182	1.109	0.953	1.291
CSGALNACT2	0.547	1.088	0.827	1.432
SERP2	0.419	1.094	0.879	1.362
IGFBP7	0.113	1.17	0.963	1.421
DENND2A	0.795	1.035	0.798	1.344
CAVIN1	0.199	1.111	0.946	1.304
AMIGO1	0.633	1.053	0.853	1.3
ETV1	0.376	1.103	0.888	1.371
MAGEH1	0.095	1.195	0.969	1.472
REM1	0.604	1.065	0.84	1.349
CES1	0.935	1.004	0.905	1.115
GRIK5	0.509	1.059	0.894	1.254
LY6H	0.558	1.086	0.823	1.433
PDE8B	0.089	1.275	0.964	1.687
FGF7	0.384	1.065	0.924	1.227
ZC3H6	0.467	1.13	0.813	1.57
KCNK3	0.37	1.076	0.916	1.265
DUSP1	0.004	1.283	1.084	1.518
ZNF626	0.593	1.071	0.833	1.377
SLCO2A1	0.067	1.18	0.988	1.41
NIPSNAP3B	0.363	1.14	0.859	1.513
ALPL	0.473	0.942	0.8	1.109
TSPAN13	0.344	0.908	0.745	1.108
FAM78B	0.326	1.161	0.862	1.565
C1orf198	0.106	1.261	0.952	1.67
PARM1	0.593	0.962	0.834	1.11
PDGFRA	0.207	1.114	0.942	1.317
ABCA6	0.051	1.351	0.998	1.827
CCN1	0.054	1.155	0.997	1.337
COL4A1	0.091	1.19	0.973	1.457
ACVRL1	0.579	0.933	0.729	1.193
BMX	0.796	1.036	0.793	1.353
CCDC152	0.251	1.144	0.909	1.44
PPP1R1A	0.132	1.115	0.968	1.283
ABCB1	0.22	0.877	0.712	1.082
ILK	0.456	1.092	0.867	1.375
MTSS1	0.864	1.016	0.848	1.217
KANK2	0.327	1.091	0.916	1.3
CALHM5	0.396	1.104	0.878	1.39
ANXA6	0.773	1.028	0.854	1.236
CHRNA3	0.149	1.101	0.966	1.254
RCAN1	0.125	1.228	0.945	1.595
MYO9A	0.951	1.01	0.736	1.385
EMILIN1	0.637	1.038	0.888	1.213
CD36	0.031	1.197	1.016	1.409
MSRB3	0.152	1.097	0.966	1.245
CRMP1	0.25	1.13	0.918	1.39
PLXNB3	0.581	1.041	0.902	1.201
TMEM121	0.787	1.03	0.833	1.273
GNB5	0.09	1.334	0.956	1.862
TTYH2	0.112	1.192	0.96	1.48
STX2	0.231	1.177	0.902	1.537
SPSB1	0.114	1.228	0.952	1.585
CACNA2D2	0.495	0.921	0.727	1.167
TMEM35A	0.464	1.063	0.902	1.253
SNPH	0.59	1.054	0.871	1.274
MRAS	0.395	1.091	0.893	1.332
GLRB	0.249	1.145	0.91	1.441
TBKBP1	0.62	1.058	0.847	1.32
RCBTB2	0.291	1.175	0.871	1.585
ADRA1D	0.166	1.13	0.95	1.345
RND2	0.18	1.16	0.934	1.44
KIF7	0.81	1.028	0.819	1.291
A4GALT	0.438	1.075	0.895	1.292
NDUFA1	0.883	0.973	0.672	1.407
SVIL	0.153	1.11	0.962	1.28
SMARCD3	0.106	1.206	0.961	1.514
KDR	0.41	1.102	0.875	1.388
PLPP4	0.363	1.076	0.919	1.26
CKMT2	0.41	0.901	0.703	1.154
TDGF1	0.227	0.881	0.718	1.082
OLFML2A	0.122	1.181	0.957	1.458
ELFN1	0.045	1.294	1.005	1.665
RIMS3	0.104	0.816	0.639	1.043
RBMS1	0.036	1.298	1.017	1.657
FBXO17	0.103	1.144	0.973	1.344
RDX	0.614	1.055	0.857	1.3
FAM180A	0.159	1.149	0.947	1.393
CYB5R3	0.309	1.184	0.855	1.641
THSD7A	0.042	1.344	1.01	1.788
RARRES2	0.884	1.014	0.839	1.226
FAM126A	0.246	1.163	0.901	1.501
RAMP1	0.018	1.164	1.027	1.319
PSD	0.589	1.038	0.905	1.191
KCND3	0.721	1.031	0.872	1.218
NR3C1	0.047	1.266	1.003	1.598
CCN3	0.226	1.096	0.945	1.272
FILIP1	0.295	1.085	0.931	1.264
PYGL	0.15	1.12	0.96	1.308
RGCC	0.888	1.018	0.798	1.299
FUZ	0.089	1.162	0.977	1.381
C11orf95	0.315	1.122	0.896	1.403
SMAD7	0.345	1.123	0.883	1.427
RTL8B	0.025	1.241	1.028	1.497
TENM4	0.234	1.156	0.91	1.467
PDGFRB	0.166	1.133	0.949	1.353
ZIK1	0.908	1.016	0.781	1.32
PLAC9	0.938	0.993	0.823	1.197
COL23A1	0.39	1.116	0.869	1.433
GABBR1	0.508	1.072	0.872	1.319
PEG10	0.031	1.103	1.009	1.206
MCC	0.093	1.21	0.969	1.511
MXRA5	0.852	0.986	0.848	1.146
PLEKHG2	0.895	1.017	0.796	1.299
BEX4	0.106	1.136	0.973	1.325
CCL20	0.997	1	0.915	1.093
CTTNBP2	0.969	0.996	0.813	1.22
TMEM200B	0.077	1.196	0.981	1.458
ZEB1	0.195	1.121	0.943	1.334
SOCS3	0.038	1.254	1.013	1.553
EGFLAM	0.059	1.285	0.99	1.666
ZNF793	0.907	0.984	0.752	1.288
ZSCAN26	0.382	1.15	0.841	1.572
WWC2	0.568	1.075	0.838	1.378
CNN1	0.305	1.039	0.966	1.119
SLC9A3R2	0.068	1.314	0.98	1.762
RSPO3	0.334	1.065	0.937	1.21
C3orf18	0.423	1.11	0.86	1.434
SYNE1	0.499	1.074	0.874	1.319
PTGS1	0.533	1.062	0.88	1.282
SFXN3	0.355	1.134	0.869	1.481
PDGFD	0.049	1.204	1.001	1.449
REXO2	0.22	1.221	0.887	1.681
CLSTN3	0.396	1.1	0.883	1.37
LUM	0.282	1.085	0.935	1.259
SLC7A2	0.014	1.148	1.028	1.281
CHRD	0.091	1.174	0.975	1.414
GRASP	0.412	1.107	0.869	1.411
APH1B	0.073	1.291	0.977	1.706
TRIM15	0.43	0.944	0.818	1.089
ADAMTS1	0.082	1.16	0.981	1.372
CGNL1	0.549	1.054	0.887	1.253
CALCRL	0.538	1.069	0.865	1.32
NFIC	0.278	0.871	0.678	1.118
PRSS23	0.064	1.184	0.99	1.415
ZFP92	0.278	1.167	0.883	1.541
F2R	0.051	1.233	0.999	1.521
MSN	0.879	1.018	0.81	1.279
TST	0.92	1.01	0.825	1.237
CNR1	0.571	1.048	0.891	1.234
GREM2	0.841	0.987	0.869	1.121
ADAMTS14	0.994	1.001	0.838	1.195
COL5A3	0.869	1.016	0.841	1.228
FBXO30	0.856	1.027	0.771	1.368
GLDN	0.189	1.193	0.917	1.552
RNF122	0.225	1.173	0.906	1.519
FAM92A	0.867	1.025	0.77	1.363
ADGRA2	0.309	1.098	0.917	1.316
CHST1	0.171	1.162	0.937	1.439
PTGER3	0.201	1.138	0.933	1.387
ITPRIP	0.038	1.285	1.014	1.627
EMCN	0.371	1.107	0.886	1.382
BGN	0.116	1.128	0.971	1.31
LBH	0.033	1.266	1.019	1.574
ABCA9	0.019	1.333	1.049	1.694
TSHZ2	0.566	1.056	0.876	1.274
HDAC5	0.148	1.212	0.934	1.573
GAS1	0.2	1.081	0.96	1.217
CRTC3	0.653	1.072	0.791	1.454
ASMTL	0.948	1.009	0.772	1.319
ZFP36L1	0.234	1.196	0.89	1.607
PDZRN4	0.154	1.112	0.961	1.288
LEPROT	0.103	1.37	0.938	1.999
IGDCC4	0.911	0.987	0.779	1.25
PTGER1	0.896	0.99	0.847	1.157
GALE	0.784	0.97	0.782	1.204
EPCAM	0.646	0.963	0.82	1.131
PRRT3	0.736	1.063	0.745	1.516
UST	0.734	1.028	0.875	1.208
MPP2	0.911	1.012	0.814	1.259
HDC	0.69	1.059	0.798	1.407
HSD17B6	0.812	1.031	0.803	1.323
PTPRD	0.006	1.389	1.099	1.756
PECAM1	0.317	1.111	0.904	1.366
ISLR	0.387	1.056	0.934	1.194
MYLK	0.295	1.058	0.952	1.174
CRLF2	0.189	1.255	0.895	1.76
KANK3	0.624	1.066	0.825	1.378
BTBD19	0.174	1.182	0.929	1.503
PLCL1	0.018	1.404	1.06	1.858
ARHGEF9	0.891	0.98	0.728	1.318
CCDC102A	0.731	1.046	0.811	1.349
SRPK3	0.69	1.047	0.835	1.313
PLA2G5	0.036	1.271	1.016	1.589
MFAP5	0.319	1.067	0.939	1.213
DNAJB4	0.272	1.141	0.902	1.445
ZNF671	0.639	0.934	0.704	1.24
PAMR1	0.011	1.363	1.074	1.73
FAP	0.226	1.11	0.937	1.315
TMEM208	0.294	1.206	0.85	1.711
C4A	0.15	1.123	0.959	1.314
SCX	0.364	0.917	0.761	1.105
KCND1	0.264	1.184	0.88	1.592
CILP2	0.037	1.167	1.009	1.349
SPRED3	0.033	1.373	1.025	1.838
GUCY1A2	0.086	1.305	0.963	1.769
CEP112	0.338	1.16	0.856	1.571
TEAD3	0.193	1.188	0.916	1.54
MYH10	0.456	1.067	0.9	1.264
PLVAP	0.147	1.192	0.94	1.512
ABCA8	0.049	1.179	1.001	1.388
HGF	0.187	1.16	0.93	1.446
H2AFY2	0.38	1.063	0.927	1.219
PGM5	0.552	1.033	0.928	1.15
PCDHB13	0.494	1.074	0.876	1.316
GEM	0.046	1.189	1.003	1.41
ROBO4	0.251	1.16	0.9	1.496
ARSB	0.318	1.13	0.889	1.437
ACTG2	0.487	1.025	0.956	1.099
HCFC1R1	0.166	1.221	0.921	1.619
CH25H	0.606	1.045	0.885	1.234
GSTM5	0.499	1.092	0.846	1.411
LRRC4B	0.347	1.108	0.894	1.374
COMP	0.308	1.047	0.958	1.145
PNCK	0.139	1.108	0.967	1.269
TCEAL3	0.566	1.064	0.861	1.314
DMD	0.085	1.142	0.982	1.328
PDE1B	0.011	1.375	1.077	1.755
NPR1	0.043	1.243	1.007	1.534
TMEM47	0.353	1.081	0.917	1.273
RBPMS2	0.164	1.081	0.969	1.207
BARX1	0.874	1.009	0.908	1.12
BHLHE41	0.221	1.1	0.945	1.28
LDLRAD3	0.094	1.195	0.97	1.473
HPGDS	0.322	1.123	0.893	1.414
FSTL3	0.24	1.091	0.944	1.261
SLC25A12	0.547	0.921	0.704	1.204
EBF4	0.204	1.114	0.943	1.317
KCNG1	0.378	1.097	0.893	1.348
TMEM25	0.489	1.067	0.888	1.281
GXYLT2	0.108	1.138	0.972	1.331
BMP1	0.17	1.195	0.927	1.541
TMEM119	0.363	1.075	0.92	1.255
PREX2	0.249	1.157	0.903	1.484
GAP43	0.271	1.122	0.914	1.379
FBLN1	0.233	1.07	0.958	1.195
COL12A1	0.423	1.062	0.917	1.228
JPT1	0.27	1.142	0.902	1.445
DUSP3	0.171	1.212	0.92	1.596
GNAL	0.585	1.065	0.849	1.337
TSC22D3	0.151	1.135	0.955	1.35
SLC12A4	0.383	1.126	0.862	1.472
TCF4	0.446	1.095	0.867	1.383
STAT5B	0.391	1.142	0.843	1.546
PCDH17	0.57	1.073	0.842	1.366
ZNF518B	0.483	0.923	0.739	1.154
DLC1	0.078	1.201	0.98	1.474
CBR3	0.725	1.041	0.83	1.306
AFAP1L1	0.061	1.286	0.988	1.673
MAF	0.483	1.078	0.873	1.331
CILP	0.23	1.073	0.956	1.205
ZSCAN31	0.339	1.135	0.876	1.471
THAP8	0.395	1.129	0.853	1.495
OLFML3	0.307	1.081	0.93	1.257
LURAP1	0.227	1.208	0.889	1.639
VGLL3	0.031	1.222	1.019	1.466
SERPINE1	0.001	1.234	1.091	1.397
AKAP12	0.044	1.138	1.003	1.29
GSN	0.23	1.136	0.923	1.398
CPXM2	0.488	1.043	0.927	1.173
TMX4	0.442	0.907	0.707	1.163
PIANP	0.104	1.222	0.96	1.556
RAB9B	0.34	1.102	0.903	1.344
TRPC4	0.224	1.151	0.917	1.445
AOX1	0.789	1.024	0.86	1.22
TTC7B	0.139	1.263	0.927	1.721
PLA2R1	0.004	1.417	1.117	1.797
AVPR2	0.323	1.133	0.885	1.451
CASQ2	0.109	1.099	0.979	1.232
MARCH2	0.797	1.04	0.771	1.404
ZNF43	0.463	0.925	0.752	1.139
EBF1	0.375	1.097	0.894	1.345
CCDC106	0.517	1.065	0.881	1.288
MAST4	0.812	0.967	0.735	1.272
ADAMTSL2	0.56	0.948	0.792	1.135
DAB2	0.099	1.191	0.968	1.466
PRRX1	0.484	1.057	0.905	1.233
PDGFB	0.255	1.143	0.908	1.44
TECR	0.546	0.908	0.664	1.242
C1R	0.636	1.043	0.877	1.239
ACAN	0.736	0.965	0.786	1.186
PCSK7	0.306	0.846	0.614	1.165
FHL1	0.313	1.055	0.951	1.171
CHRDL1	0.065	1.107	0.994	1.232
FAT4	0.456	1.075	0.889	1.3
GPM6B	0.371	1.103	0.89	1.366
CST2	0.117	1.099	0.976	1.238
FNDC4	0.177	1.156	0.937	1.427
CDIP1	0.09	1.211	0.97	1.511
ACBD4	0.277	1.235	0.844	1.807
ADAMTS15	0.073	1.177	0.985	1.407
ECM2	0.093	1.202	0.97	1.489
RHOV	0.78	1.017	0.902	1.147
AGPAT4	0.479	1.103	0.841	1.448
ZNF570	0.46	1.112	0.839	1.473
SIX2	0.78	1.015	0.915	1.125
HABP4	0.572	0.926	0.71	1.208
PDE4D	0.997	1	0.797	1.253
RNF180	0.131	1.209	0.945	1.546
FBXL2	0.03	1.387	1.032	1.864
PRCP	0.639	1.074	0.797	1.448
CSRNP1	0.038	1.29	1.014	1.641
PDE9A	0.18	1.131	0.945	1.355
MAPK11	0.782	0.964	0.742	1.252
TWSG1	0.333	1.131	0.881	1.451
LEPR	0.291	1.126	0.903	1.405
CPQ	0.341	1.11	0.895	1.377
DLL1	0.553	0.934	0.746	1.17
THBS1	0.062	1.145	0.993	1.32
GPIHBP1	0.098	1.209	0.966	1.514
LRRC10B	0.843	1.019	0.849	1.223
UTRN	0.638	1.051	0.853	1.297
TLR5	0.161	1.209	0.927	1.578
CEP126	0.271	1.159	0.891	1.509
SUGCT	0.014	1.399	1.07	1.83
KCNMA1	0.217	1.075	0.959	1.205
CBLN3	0.48	1.129	0.806	1.583
C7	0.219	1.054	0.969	1.147
EBF2	0.025	1.306	1.035	1.649
ERFE	0.702	0.958	0.77	1.193
TIMP3	0.359	1.071	0.925	1.242
SSBP2	0.182	1.163	0.932	1.451
LDB3	0.583	1.037	0.91	1.182
AMPH	0.498	1.097	0.839	1.434
SLIRP	0.321	1.182	0.849	1.646
NR4A3	0.252	1.102	0.933	1.3
LAMA2	0.167	1.127	0.951	1.335
TNC	0.652	1.027	0.915	1.153
NATD1	0.929	0.989	0.773	1.266
PTGFR	0.322	1.113	0.9	1.377
THY1	0.369	1.084	0.909	1.292
GPRASP1	0.116	1.158	0.964	1.392
CDKL2	0.802	1.039	0.768	1.407
FAM13C	0.491	1.093	0.849	1.406
CYP1B1	0.068	1.116	0.992	1.257
COX6A1	0.602	1.099	0.771	1.565
