Tag	geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId	DB
210	GO:0040007	growth	http://amigo.geneontology.org/amigo/term/GO:0040007	759	173	100.626416954165	1.71923044898639	5.00710584105946e-14	2.70293497293948e-12	25;32;94;154;183;185;309;320;321;322;347;367;552;604;623;657;658;677;948;1028;1291;1292;1293;1294;1311;1410;1511;1808;1893;1901;2045;2247;2252;2255;2260;2273;2307;2335;2596;2619;2621;2690;2697;2719;2735;2736;2737;2810;2934;3202;3371;3479;3481;3486;3487;3488;3489;3490;3611;3624;3897;3913;3953;4131;4133;4147;4148;4208;4211;4323;4593;4692;4739;4803;4881;4921;5144;5159;5167;5270;5292;5600;5654;5727;5802;5806;5915;5997;5999;6356;6387;6422;6423;6442;6586;6608;6695;6722;6777;7040;7042;7046;7048;7049;7059;7373;7414;7472;7474;8153;8291;8292;8324;8425;8470;8482;8614;8692;8828;8829;8835;8877;8936;9021;9037;9241;9353;9423;9647;9706;9723;9746;9839;9863;10252;10365;10371;10439;10512;10516;11170;11221;23414;23493;23499;25932;25937;26524;26585;28514;29967;51147;51176;51754;54413;54796;54910;55224;55841;57142;57216;57502;57556;64061;64321;80014;80031;84159;85358;91584;93649;285590;340719	MUSK;GLI3;HEY2;MATN3;NLGN3;FGF10;APBA2;SORBS2;ECM1;DDR2;EPHA7;PTX3;RARB;FBLN5;SEMA3A;NDN;CCL11;SRF;NRP1;COL6A2;WWC3;PLXNA4;APBA1;STC2;TGFBR1;NLGN4X;SFRP2;APBB1;IGF1;LAMB2;L1CAM;MATN2;PTCH1;COL14A1;COL6A3;GLI2;ARID5B;ACACB;CTSG;ING4;CLIC4;DYSF;MMP14;CDKN1C;FGF2;IGFBP3;ZEB2;ADRB2;S1PR1;SEMA4C;FN1;WNT2;IGF2;NTN1;MAP2;SEMA3E;AVPR1A;SEMA6D;MACF1;BDKRB1;CRYAB;NGF;ABL1;NEDD9;HTRA1;ZFPM2;KLF2;COL6A1;TGFB1;SPOCK1;SH3PXD2B;SEMA6A;MAP1B;IGFBP7;FGF7;ACVRL1;ILK;ANXA6;CD36;RND2;PDGFRB;SOCS3;WWC2;CLSTN3;GAS1;ZFP36L1;COMP;NPR1;GAP43;STAT5B;GSN;FHL1;PDE4D;MAPK11;LEPR;DLL1;TNC;SMO;FAM107A;GAS6;GLI1;ETNK2;GREM1;WWTR1;MYOCD;SLIT2;NRP2;SEMA3C;FGFR1;DPYSL2;IGFBP5;MAGI2;TSPYL2;TGFB2;AGT;RGS4;HYAL2;SPRY1;TGFBR2;NANOS1;INHBA;SFN;SGCA;SOX17;AGTR1;AR;SEMA7A;RGS2;BCL6;HOXA5;RTN4;VCL;PIM1;MEIS1;OLFM1;ULK2;LTBP4;SPHK1;MEF2C;COLQ;THBS3;LRP12;TGFBR3;SOCS2;WNT5A;VANGL2;BMPR1A;SHANK3;PTPRS;BMPR1B;LEF1;COL7A1;GPC3;BNC2;SEMA5A;LATS2;CXCL12;APOD;GHR;ENPP1;WASF1;NOG;IGFBP6;SLIT3;SFRP1;TMEM8B;GJA1;PPM1F;SERPINE2;DUSP10;FOXS1;IGFBP4;FZD7	geneontology_Biological_Process
211	GO:0007409	axonogenesis	http://amigo.geneontology.org/amigo/term/GO:0007409	379	104	50.2469196648595	2.06977861914057	6.10622663543836e-14	3.26683124995952e-12	25;322;658;1000;1009;1123;1400;1808;1945;1949;1959;2043;2045;2115;2335;2549;2596;2674;2736;2737;2817;3199;3611;3670;3897;3908;3913;4130;4131;4133;4135;4147;4628;4684;4692;4781;4803;4804;4902;4915;5365;5727;5797;5802;5979;6091;6324;6387;6586;6608;6722;7070;7345;7414;7436;7474;8013;8153;8482;8609;8633;8828;8829;9037;9241;9253;9260;9353;9369;9423;9637;9638;9706;9723;9839;10371;10439;10512;23022;23114;23129;23499;51062;54413;54538;54910;55740;55816;57142;57216;57556;59277;63923;64843;80031;84446;84628;85358;91584;91624;91653;128434;152330;219699	GLI3;NLGN3;CDH11;NFASC;EPHA7;PTPRM;SEMA3A;NDN;SRF;NRP1;UCHL1;PLXNA4;GFRA1;NTNG2;ATL1;NEXN;APBB1;LAMB2;EFNB3;L1CAM;PLXND1;MATN2;PTCH1;GLI2;NFIB;EPHA4;MAP6;VSTM2L;EGR2;FEZ1;GPC1;ZEB2;ISL1;SEMA4C;FN1;NTN1;MAP2;NTN4;SEMA3E;SEMA6D;MACF1;NGF;ABL1;NUMBL;SCN1B;SEMA6A;MAP1B;ETV1;ILK;CRMP1;PLXNB3;RND2;MYH10;ROBO4;GAP43;NR4A3;LAMA2;THY1;SMO;KLF7;SLIT2;NRP2;SEMA3C;DPYSL2;ISL2;UNC5C;CHN1;GAB1;NTRK2;NGFR;RET;DOK5;SEMA7A;FEZ2;VLDLR;PALLD;RTN4;VCL;BRSK1;OLFM1;NCAM1;ULK2;NRTN;WNT5A;VANGL2;CDH2;SHANK3;PTPRS;BMPR1B;BOC;UNC5B;SEMA5A;CXCL12;NRXN3;EFNA4;PDLIM7;MAP1A;CNTN4;HOXA2;NOG;SLIT3;ROBO1;ENAH;TNN	geneontology_Biological_Process
212	GO:0060537	muscle tissue development	http://amigo.geneontology.org/amigo/term/GO:0060537	308	90	40.8339083292262	2.2040505962439	6.21724893790088e-14	3.29679253415062e-12	70;90;183;657;857;858;1073;1281;1301;1634;1901;1959;2022;2247;2260;2702;2735;2817;3131;3479;3488;3670;4092;4205;4208;4209;4211;4223;4628;4629;4638;5156;5159;5292;5311;5350;5600;5915;5997;5999;6262;6443;6444;6546;6608;6722;6840;6943;7026;7040;7042;7046;7048;7049;7168;7291;7472;7474;7832;7881;8324;8470;8516;8736;8910;9241;9242;9759;10052;10512;23363;23414;23493;26471;26508;26576;26585;28514;50507;50937;51176;51676;54567;57158;64091;64321;93649;93986;130497;221662	HEY2;ASB2;SGCB;SORBS2;CDON;CFL2;RBM24;RARB;SRF;TPM1;TGFBR1;OBSL1;TCF21;IGF1;HDAC4;ACTC1;JPH2;MYH11;EGR2;GPC1;FGF2;S1PR1;ISL1;WNT2;MEOX2;ZFPM2;TGFB1;COL11A1;NR2F2;COL3A1;PDGFRA;SVIL;SMAD7;PDGFRB;MYLK;SRPK3;MYH10;MAPK11;DLL1;SMO;SLC8A1;GLI1;OSR1;GREM1;MYOCD;GJA5;HEYL;SGCD;SEMA3C;FGFR1;RYR2;IGFBP5;TGFB2;AGT;RGS4;TGFBR2;SOX17;CAV2;PKD2;ENG;DCN;RGS2;CAV1;ACVR1;GJC1;PIM1;NUPR1;HLF;MEF2D;MEIS1;MEF2C;ITGA8;TGFBR3;DLL4;MEF2A;WNT5A;BMPR1A;MYOM1;LEF1;POPDC2;PLN;FOXP2;NOG;TWIST1;KCNAB1;BTG2;MSC;SGCE;FZD7;NOX4	geneontology_Biological_Process
213	GO:0007411	axon guidance	http://amigo.geneontology.org/amigo/term/GO:0007411	226	73	29.962543124692	2.4363753001941	6.33937347060964e-14	3.33206366981517e-12	658;1123;1400;1808;1945;1949;1959;2043;2045;2115;2549;2596;2674;2736;2737;2817;3199;3670;3897;3908;3913;4147;4628;4684;4781;4902;5365;5727;5797;5979;6091;6324;6387;6586;6608;7436;7474;8013;8482;8609;8633;8828;8829;9037;9241;9260;9353;9369;9423;9637;9638;9723;10371;10512;23022;23114;23129;54538;54910;55740;55816;57216;57556;59277;64843;80031;85358;91584;91624;91653;128434;152330;219699	GLI3;NFASC;EPHA7;PTPRM;SEMA3A;NRP1;PLXNA4;GFRA1;NEXN;LAMB2;EFNB3;L1CAM;PLXND1;MATN2;PTCH1;GLI2;NFIB;EPHA4;VSTM2L;EGR2;FEZ1;GPC1;ISL1;SEMA4C;NTN1;NTN4;SEMA3E;SEMA6D;SCN1B;SEMA6A;ETV1;CRMP1;PLXNB3;MYH10;ROBO4;GAP43;NR4A3;LAMA2;SMO;KLF7;SLIT2;NRP2;SEMA3C;DPYSL2;ISL2;UNC5C;CHN1;GAB1;RET;DOK5;SEMA7A;FEZ2;VLDLR;PALLD;NCAM1;NRTN;WNT5A;VANGL2;SHANK3;BMPR1B;BOC;UNC5B;SEMA5A;CXCL12;NRXN3;EFNA4;PDLIM7;CNTN4;HOXA2;NOG;SLIT3;ROBO1;ENAH	geneontology_Biological_Process
214	GO:0060562	epithelial tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0060562	250	78	33.1444061113849	2.35333828996283	6.99440505513849e-14	3.64438913829477e-12	25;90;94;183;367;388;1282;1909;2022;2043;2045;2247;2255;2535;2719;2736;2737;3202;3371;3611;4208;4323;4776;4855;5087;5228;5310;5311;5566;5567;5727;5979;6262;6356;6422;6423;6608;6692;6722;6943;7040;7042;7048;7291;7472;7474;7482;8321;8463;8829;9241;9353;9423;9464;9723;9788;9839;10252;10395;10736;23129;25932;26249;26585;27086;28514;51176;54345;54567;54910;54922;57216;64321;64399;79633;90627;130497;144165	FOXP1;GLI3;PRKACB;FGF10;PBX1;EPHA7;NFATC4;CCL11;SRF;NRP1;PGF;SFRP2;TCF21;WNT2B;PLXND1;PTCH1;GLI2;EPHA4;CLIC4;MMP14;FGF2;ZEB2;RASIP1;SEMA4C;WNT2;NTN1;SEMA3E;PRKACA;TEAD2;ABL1;TGFB1;COL4A1;ACVRL1;ILK;MTSS1;DLC1;FAT4;SIX2;DLL1;TNC;SMO;OSR1;GREM1;HHIP;STARD13;SLIT2;RYR2;TGFB2;AGT;FZD1;PRICKLE1;SPRY1;TGFBR2;NOTCH4;FZD2;SOX17;PKD2;AR;RET;ENG;SOX18;KLHL3;PKD1;HOXA5;ACVR1;EDNRA;MEF2C;RHOB;DLL4;WNT5A;VANGL2;LEF1;GPC3;HAND2;NOG;TWIST1;SFRP1;SPINT1	geneontology_Biological_Process
215	GO:0048598	embryonic morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0048598	427	113	56.6106456382454	1.99609099535969	7.14983627858601e-14	3.69326025700753e-12	25;90;187;367;657;677;775;860;1028;1284;1289;1290;1291;1294;1295;1301;2022;2200;2202;2247;2255;2260;2295;2321;2335;2535;2624;2702;2719;2735;2736;2737;3199;3200;3202;3212;3214;3357;3481;3624;3678;3679;3690;3693;3912;4208;4237;4313;4323;4325;4920;5087;5156;5311;5396;5566;5567;5727;5915;5979;6262;6422;6423;6608;6615;6692;6722;6935;6943;7040;7041;7042;7043;7046;7048;7291;7424;7472;7474;7482;7704;8013;8321;8324;8434;8463;8516;8646;9021;9132;9241;9423;9464;9839;10395;10736;26585;28514;50937;51176;54345;54567;54910;55084;57045;57216;64321;64388;83595;89870;90102;130497;144165	GLI3;PRKACB;FGF10;PBX1;CDON;RARB;SRF;TGFB1I1;TGFBR1;MMP2;FBN1;SFRP2;PHLDB2;TCF21;WNT2B;PTCH1;RUNX2;GLI2;MMP14;CDKN1C;FGF2;ZEB2;ZBTB16;SEMA4C;FN1;WNT2;IGF2;NTN1;RECK;KCNQ4;PRKACA;FOXF2;TEAD2;SOBP;HOXB4;ABL1;ITGA7;COL6A1;TGFB1;SNAI1;COL11A1;COL5A2;PDGFRA;ZEB1;SOCS3;CHRD;TRIM15;GREM2;ZFP36L1;DLC1;PRRX1;SIX2;TWSG1;DLL1;NR4A3;SMO;GLI1;OSR1;GREM1;FLT1;GJA5;FGFR1;RYR2;TGFB2;FZD1;COL5A1;PRICKLE1;TGFBR2;INHBA;FZD2;SOX17;HOXA3;HOXB2;PKD2;AR;MFAP2;RET;LAMB1;ENG;EFEMP1;ITGA5;SOX18;APLNR;ITGB5;HOXA5;ACVR1;TGFB3;MEF2C;ITGA8;DLL4;WNT5A;VANGL2;BMPR1A;SOX7;CACNA1C;LEF1;COL7A1;GPC3;VEGFC;COL8A1;GATA2;HAND2;COL4A2;HOXA2;NOG;TWIST1;SFRP1;HTR2B;MMP16;ROR2;ITGB3;SPINT1;FZD7	geneontology_Biological_Process
216	GO:0009968	negative regulation of signal transduction	http://amigo.geneontology.org/amigo/term/GO:0009968	946	204	125.418432725481	1.62655516870093	7.74935671188359e-14	3.9687303775732e-12	25;90;154;183;187;347;367;408;493;558;599;604;624;845;857;858;860;1000;1191;1408;1601;1634;1759;1827;1843;1845;1893;1902;2042;2043;2045;2192;2200;2255;2260;2321;2324;2621;2624;2719;2735;2737;2771;2817;2946;3082;3090;3357;3479;3486;3487;3488;3489;3569;3667;3670;3672;3708;3791;3815;4035;4052;4092;4163;4321;4323;4593;4653;4776;4846;4854;4915;4919;4920;4921;5054;5138;5139;5144;5156;5159;5167;5187;5270;5311;5563;5566;5567;5621;5654;5727;5739;5802;5979;5997;5999;6004;6091;6095;6387;6422;6423;6586;6609;6615;6622;6943;7010;7040;7041;7042;7043;7046;7048;7049;7057;7070;7075;7077;7078;7089;7091;7291;7345;7474;7857;8321;8382;8490;8643;8646;8682;8692;8786;8787;8829;8835;9021;9241;9353;9423;9454;9479;9737;9863;10252;10272;10395;10846;11117;11221;22821;22881;23017;23089;23462;23493;23612;25937;25959;26508;26524;26585;27086;27122;27123;51162;54413;54567;54741;54922;55841;55885;56917;56937;56940;57045;57502;57556;63923;64321;64359;64388;64399;64784;65018;65997;78986;79899;80014;80149;84445;84662;91851;93649;114990;126282;126374;142679;144165;219699;220441;246330;374654	FOXP1;MUSK;GLI3;EPHA3;HEY2;NLGN3;PRKACB;FGF10;ECM1;MEIS3;LRP1;DDR2;EPHA7;MYOC;BCL2L2;ITPR1;ATP2B4;ANKRD6;MAPK8IP1;LPAR1;NFATC4;NRP1;HOMER3;UCHL1;WWC3;TGFB1I1;GLIS2;PTCH2;FAIM2;LTBP1;AXL;TGFBR1;PMEPA1;NLGN4X;FBN1;SFRP2;TIMP2;GSTM2;TCF21;IGF1;PELI3;PRR5L;PHLDA3;PTCH1;PDE3A;RUNX2;EPHA4;MMP14;GPC1;IGFBP3;SCG2;RASIP1;LMO3;ADRB2;DNM1;DUSP22;EGFL7;FLT4;ISL1;NME5;HIC1;NTN1;RASL11B;KIT;PRKACA;NOS3;ABL1;HTRA1;PER1;TGFB1;RGS16;SNAI1;DKK3;ARRB1;NXN;NOTCH3;BDKRB2;RORA;DUSP26;SEMA6A;DUSP1;PDGFRA;KANK2;RCAN1;EMILIN1;KIF7;KDR;SMAD7;PDGFRB;PEG10;MCC;SOCS3;WWC2;CHRD;GREM2;CRTC3;LEPROT;HGF;FSTL3;FBLN1;DUSP3;DLC1;SERPINE1;CASQ2;DAB2;CHRDL1;PDE4D;TWSG1;THBS1;TIMP3;THY1;GPRASP1;GAS6;GLI1;LZTS2;PDE10A;GREM1;WWTR1;HHIP;MYOCD;SLIT2;FLT1;HEYL;FGFR1;IGFBP5;RGS11;WTIP;SNCA;MAGI2;TGFB2;AGT;FZD1;RGS4;PRICKLE1;HYAL2;ROR1;SPRY1;NTRK2;TGFBR2;PINK1;PRKAA2;IRS1;SOX17;CAV2;RGS5;PKD2;AR;RET;DCN;APLNR;RGS2;ZC3H12A;CAV1;DKK2;BCL6;ACVR1;TGFB3;TLE2;TNFAIP8L1;TGFBR3;SOCS2;DLL4;WNT5A;CDH2;PTPRS;PDE2A;RGS9;GNAI2;ITGA1;TEK;SMPD1;GPC3;UNC5B;LATS2;CXCL12;APOD;PEA15;GATA2;PTGIR;ENPP1;CRY2;NOG;IGFBP6;RASA3;CLU;TWIST1;SLIT3;SFRP1;HTR2B;HEY1;TLE4;MMP12;RNF152;ROR2;SERPINE2;DUSP10;ROBO1;IL6;IGFBP4;TIE1;VASN;TNN;PRNP;DUSP19	geneontology_Biological_Process
217	GO:0048585	negative regulation of response to stimulus	http://amigo.geneontology.org/amigo/term/GO:0048585	1216	248	161.214391325776	1.53832420270006	8.19344592173366e-14	4.1606040646634e-12	2;25;90;116;134;154;183;187;284;285;308;347;367;408;493;558;599;604;624;710;784;845;857;858;860;947;1000;1003;1191;1268;1281;1408;1601;1634;1759;1827;1843;1845;1893;1902;2042;2043;2045;2191;2192;2200;2247;2255;2260;2321;2324;2621;2624;2719;2735;2737;2771;2817;2946;3082;3090;3357;3479;3486;3487;3488;3489;3569;3667;3670;3672;3708;3791;3815;4035;4052;4092;4163;4215;4321;4323;4345;4593;4653;4776;4846;4854;4915;4919;4920;4921;5054;5138;5139;5144;5155;5156;5159;5167;5176;5187;5270;5311;5322;5327;5328;5563;5566;5567;5592;5621;5627;5654;5727;5739;5802;5979;5997;5999;6004;6091;6095;6387;6422;6423;6586;6609;6615;6622;6943;7010;7040;7041;7042;7043;7046;7048;7049;7056;7057;7070;7075;7077;7078;7089;7091;7130;7291;7292;7295;7345;7474;7857;8013;8321;8382;8482;8490;8643;8646;8682;8692;8786;8787;8829;8835;9021;9037;9241;9353;9423;9454;9479;9723;9737;9863;10000;10203;10252;10272;10371;10395;10512;10846;11117;11221;22821;22881;23017;23089;23462;23493;23612;23621;25937;25959;26508;26524;26585;27086;27122;27123;51162;54413;54567;54741;54910;54922;55841;55885;56917;56937;56940;56963;57045;57502;57556;63923;64321;64359;64388;64399;64784;65018;65997;78986;79899;80014;80031;80149;84445;84662;84695;90102;90865;91851;93649;114897;114990;126282;126374;130497;142679;144165;219699;220441;246330;374654	FOXP1;MUSK;GLI3;EPHA3;HEY2;NLGN3;PRKACB;FGF10;ECM1;MEIS3;LRP1;DDR2;EPHA7;MYOC;BCL2L2;CD200;ITPR1;ATP2B4;ANKRD6;SERPINF1;SEMA3A;MAPK8IP1;LPAR1;NFATC4;NRP1;HOMER3;UCHL1;WWC3;LOXL3;TGFB1I1;GLIS2;PTCH2;FAIM2;LTBP1;TNFSF4;AXL;TGFBR1;PMEPA1;NLGN4X;SERPING1;FBN1;SFRP2;CDH5;TIMP2;PHLDB2;GSTM2;TCF21;IGF1;PELI3;PRR5L;PHLDA3;PLAT;PTCH1;PDE3A;RUNX2;ANGPT2;ADORA1;ANGPT1;EPHA4;MAP3K3;MMP14;GPC1;FGF2;IGFBP3;SCG2;RASIP1;LMO3;ADRB2;DNM1;DUSP22;EGFL7;FLT4;AKT3;ISL1;SEMA4C;NME5;HIC1;CACNB3;NTN1;RASL11B;KIT;SEMA3E;SEMA6D;PRKACA;NOS3;ABL1;HTRA1;PER1;TNFAIP6;BACE1;TGFB1;RGS16;SNAI1;DKK3;ARRB1;NXN;NOTCH3;COL3A1;BDKRB2;RORA;CD34;DUSP26;SEMA6A;DUSP1;PDGFRA;KANK2;RCAN1;EMILIN1;KIF7;KDR;SMAD7;PDGFRB;PEG10;MCC;SOCS3;WWC2;CHRD;CALCRL;CNR1;GREM2;CRTC3;LEPROT;PLA2G5;FAP;HGF;FSTL3;FBLN1;DUSP3;DLC1;SERPINE1;CASQ2;DAB2;PDGFB;CHRDL1;PDE4D;TWSG1;THBS1;TIMP3;NR4A3;THY1;GPRASP1;IL33;GAS6;GLI1;LZTS2;OSR1;PDE10A;GREM1;WWTR1;HHIP;MYOCD;SLIT2;FLT1;HEYL;SEMA3C;FGFR1;IGFBP5;RGS11;WTIP;SNCA;MAGI2;TGFB2;AGT;FZD1;RGS4;PRICKLE1;HYAL2;ROR1;SPRY1;NTRK2;TGFBR2;PINK1;PRKAA2;IRS1;PRKG1;SOX17;THBD;A2M;CAV2;RGS5;PKD2;AR;RET;SEMA7A;DCN;APLNR;RGS2;ZC3H12A;CAV1;DKK2;BCL6;ACVR1;TGFB3;TLE2;TXN;TNFAIP8L1;PROS1;RGMA;TGFBR3;SOCS2;DLL4;WNT5A;CDH2;PTPRS;PDE2A;RGS9;GNAI2;ANXA5;ITGA1;TEK;C1QTNF1;SMPD1;GPC3;UNC5B;SEMA5A;LATS2;CXCL12;APOD;PEA15;GATA2;PTGIR;PLAU;ENPP1;CRY2;NOG;IGFBP6;RASA3;CLU;TWIST1;SLIT3;SFRP1;HTR2B;HEY1;TLE4;MMP12;ADCYAP1;RNF152;ROR2;SERPINE2;DUSP10;ROBO1;IL6;IGFBP4;TIE1;VASN;TNN;PRNP;DUSP19	geneontology_Biological_Process
218	GO:0030030	cell projection organization	http://amigo.geneontology.org/amigo/term/GO:0030030	1118	232	148.221784130113	1.56522201754328	9.14823772291129e-14	4.60640675930121e-12	25;116;183;322;347;658;706;857;1000;1009;1012;1123;1136;1268;1272;1400;1627;1742;1808;1809;1901;1902;1945;1949;1959;2014;2042;2043;2045;2115;2242;2245;2260;2316;2335;2549;2596;2674;2736;2737;2775;2817;2934;3082;3199;3371;3569;3611;3670;3672;3725;3797;3815;3897;3908;3912;3913;3934;3956;4035;4130;4131;4133;4135;4139;4147;4204;4205;4208;4628;4638;4653;4684;4685;4692;4776;4781;4803;4804;4830;4852;4885;4902;4915;5176;5217;5365;5376;5396;5526;5566;5577;5587;5592;5621;5662;5727;5764;5789;5797;5802;5962;5979;5990;5997;6091;6324;6383;6387;6422;6423;6586;6608;6616;6624;6695;6722;7025;7043;7046;7070;7168;7225;7345;7414;7431;7436;7474;7832;7846;7873;8013;8153;8321;8322;8382;8482;8506;8516;8522;8536;8578;8609;8633;8828;8829;8936;9037;9241;9253;9260;9353;9369;9423;9637;9638;9706;9723;9759;9788;9839;9863;10129;10371;10439;10512;10570;10602;10630;10810;11075;22873;22885;23022;23114;23129;23216;23363;23413;23433;23467;23499;25937;26052;29116;29967;30845;50649;51062;51177;54413;54538;54910;55704;55740;55742;55816;56963;57111;57118;57142;57216;57381;57520;57556;59277;63923;64764;64843;79633;79659;79734;80031;80243;80303;80823;81618;83700;83871;84446;84628;85358;91584;91624;91653;126374;128434;146057;152330;171177;219699;221935	PFN2;GLI3;EPHA3;NLGN3;NR2F1;DPYSL3;CDH11;NFASC;LRP1;EPHA7;PTPRM;MYOC;GNAO1;SERPINF1;SEMA3A;LPAR1;NDN;NFATC4;SRF;NRP1;UCHL1;CAMK1D;PLXNA4;GFRA1;NTNG2;ATL1;TPM1;PRKD1;NEXN;SNAP25;TGFBR1;PRKAR2B;SFRP2;OBSL1;NPTXR;RFX2;APBB1;BHLHB9;LAMB2;HDAC4;EFNB3;EMP3;L1CAM;PLXND1;MATN2;PTCH1;GLI2;NFIB;SDC2;SCARF1;EPHA4;RAB25;MAP6;KIF3C;VSTM2L;EGR2;FEZ1;GPC1;DLG4;TTBK2;ZEB2;ARHGEF4;STMN2;S1PR1;PTN;ISL1;SEMA4C;FN1;RHOJ;TUBA1A;NME5;FES;NTN1;RHOQ;ABLIM3;MAP2;NPY;NTN4;NME1;KIT;SEMA3E;MANF;CAMK1;SEMA6D;HECW2;MACF1;PRKACA;NGF;ABL1;VIM;NUMBL;SCN1B;SPOCK1;CCDC88A;SEMA6A;MAP1B;ETV1;ILK;MTSS1;CHRNA3;CRMP1;PLXNB3;RND2;RDX;PSD;CNR1;PTPRD;MYLK;MYH10;HGF;ROBO4;PREX2;GAP43;GSN;PRRX1;FAT4;RHOV;NR4A3;LAMA2;TNC;THY1;SMO;NPTX2;JUN;FGD1;DBN1;KLF7;CREB3L2;TBC1D1;LGALS1;WWTR1;SLIT2;TRPC6;NRP2;CDC42EP3;SEMA3C;EFHD1;FGFR1;DPYSL2;WTIP;WASF3;ISL2;UNC5C;MAGI2;DNM3;PPP2R5B;CHN1;AGT;KCTD17;FZD1;CNTNAP1;GAB1;CDH13;ITM2C;NTRK2;MECP2;EHD3;NGFR;DPYSL4;PRKG1;PMP22;FSCN1;RET;LAMB1;DYNC2H1;DOK5;SEMA7A;CNTN1;FEZ2;RGS2;VLDLR;PARVA;CAV1;FZD4;PALLD;PLEKHO1;RTN4;VCL;GAS7;TGFB3;BRSK1;OLFM1;NCAM1;ULK2;NRTN;FRY;MEF2C;LRP12;ITGA8;RGMA;MEF2A;WNT5A;VANGL2;NCAM2;CDH2;SHANK3;PTPRS;JAM3;BMPR1B;SDK1;ITGA1;BOC;UNC5B;SEMA5A;CXCL12;APOD;NRXN3;EFNA4;LCN2;PDLIM7;MAP1A;CNTN4;HOXA2;RAB34;WASF1;NOG;FLNA;TSPO;MARK1;MYLIP;DZIP1;SLIT3;SFRP1;ADCYAP1;PDPN;BTG2;ROBO1;IL6;NCS1;ENAH;TNN;PRNP	geneontology_Biological_Process
219	GO:0007160	cell-matrix adhesion	http://amigo.geneontology.org/amigo/term/GO:0007160	183	63	24.2617052735338	2.59668474617588	1.33559829862406e-13	6.66908750446282e-12	25;87;94;347;395;604;683;947;948;1012;1281;1305;1613;1845;2042;2335;3611;3672;3679;3690;3693;3791;3897;4059;4321;4323;4653;4811;5054;5175;5310;5328;6422;6722;7010;7057;7059;7070;7402;7414;7791;8516;8829;8910;9647;9723;10395;10516;10580;10979;11117;11170;22795;22801;23499;26585;50509;51754;54749;56940;63923;83700;90102	EPHA3;MYOC;FBLN5;ZYX;SRF;NRP1;EPDR1;ARHGAP6;DAPK3;PHLDB2;L1CAM;NID1;MMP14;DUSP22;ACTN1;FN1;BCAM;SEMA3E;MACF1;ABL1;ITGA7;COL3A1;CD34;ACVRL1;ILK;EMILIN1;CD36;KDR;COL5A3;PECAM1;DUSP3;DLC1;SERPINE1;THBS1;UTRN;THY1;FAM107A;GREM1;CDH13;BST1;ITGB5;PKD1;BCL6;VCL;THBS3;NID2;ITGA8;FERMT2;JAM3;ITGA1;TEK;APOD;PLAU;SORBS1;ITGA11;SFRP1;TMEM8B;MMP12;PPM1F;SGCE;COL13A1;ITGB3;TNN	geneontology_Biological_Process
220	GO:0030036	actin cytoskeleton organization	http://amigo.geneontology.org/amigo/term/GO:0030036	513	128	68.0123213405619	1.88201192779553	1.64757096854373e-13	8.15888036654053e-12	25;60;70;87;358;388;395;408;604;683;845;1073;1264;1265;1266;1613;1627;1809;1901;1902;2037;2042;2242;2245;2252;2255;2275;2316;2549;2919;2934;3092;3611;3693;3815;4035;4082;4205;4208;4628;4629;4653;4739;5066;5156;5159;5217;5592;5962;5999;6356;6387;6422;6525;6624;6722;7010;7040;7043;7046;7094;7111;7148;7168;7169;7171;7791;8153;8470;8522;8572;8736;8829;8936;9037;9260;9353;9639;9647;9723;9788;9828;9886;10174;10278;10391;10395;10411;10486;10580;10602;10810;11034;11155;11170;11346;22808;22836;22885;22899;23002;23022;23363;23396;23433;25802;27295;29767;30846;50507;55616;55704;55742;56907;57216;57381;64857;83700;84168;85358;85458;90102;91010;122786;154810;171177;221692;285590	PFN2;EFS;EPB41L2;EPHA3;FGF10;TMOD1;DPYSL3;SORBS2;CFL2;LRP1;ASAP3;MYOC;LPAR1;ZYX;CCL11;SRF;NRP1;SYNPO;TPM4;ARHGAP6;TPM1;DAPK3;TGFBR1;OBSL1;FRMD6;PHLDB2;RHOBTB3;ACTC1;RHOBTB1;MYH11;AQP1;SORBS3;S1PR1;ACTN1;RHOJ;FES;RHOQ;ARHGEF15;ABLIM3;KIT;CORO2B;SEMA3E;DAAM1;ABL1;NEDD9;TLN1;FMNL3;TGFB1;ARRB1;CCDC88A;SH3PXD2B;FGF7;PDGFRA;ILK;MTSS1;MRAS;RND2;RDX;PDGFRB;PLEKHG2;CNN1;MYH10;DLC1;GSN;CASQ2;RHOV;LDB3;PIP5K1C;FAM107A;FGD1;DBN1;RAPGEF3;SLIT2;CDC42EP3;CXCL1;WASF3;RGS4;GAB1;BST1;SPIRE1;DIXDC1;PRKG1;CAP2;ARHGEF17;FHL3;FSCN1;HIP1;PDLIM3;DSTN;ITGB5;PARVA;AMOTL1;PALLD;BCL6;GAS7;TGFB3;MEF2C;RHOB;MARCKS;MEF2A;VANGL2;SHANK3;CNN3;EHD2;MYOM1;JAM3;PHACTR1;TEK;TMOD2;SEMA5A;CXCL12;PDLIM4;PDLIM7;TNXB;SMTN;PAM;SORBS1;WASF1;ANTXR1;TPM2;FLNA;ARHGEF10;SFRP1;PPM1F;CNN2;ACTB;LMOD1;NOX4	geneontology_Biological_Process
