Tag	logFC	AveExpr	t	P.Value	adj.P.Val	B
POLR3A	1	3.34	8.178	0	0	23.573
DDX47	0.673	1.341	8.177	0	0	23.568
POLR3C	0.792	4.747	8.176	0	0	23.559
RPUSD4	0.811	3.721	8.176	0	0	23.558
TMEM50A	0.591	6.59	8.174	0	0	23.55
GPR4	1.16	3.198	8.174	0	0	23.544
RBM22	0.708	5.343	8.172	0	0	23.531
RHNO1	0.847	4.885	8.171	0	0	23.528
C10orf88	0.785	2.87	8.17	0	0	23.523
FANCM	0.787	1.706	8.169	0	0	23.514
RTKN2	1.244	1.961	8.168	0	0	23.504
RBBP4	0.833	5.288	8.167	0	0	23.499
RAB3GAP2	0.843	3.928	8.166	0	0	23.493
STX16	1.096	4.679	8.164	0	0	23.481
MYB	1.964	3.309	8.164	0	0	23.48
PGS1	0.798	3.528	8.163	0	0	23.47
FAM199X	0.993	4.298	8.162	0	0	23.466
SENP5	0.905	3.69	8.161	0	0	23.457
GUSB	0.965	5.602	8.16	0	0	23.45
C19orf54	0.911	4.013	8.158	0	0	23.435
ZC3H11A	0.979	5.179	8.158	0	0	23.435
NAE1	0.876	4.534	8.157	0	0	23.432
E2F4	0.786	5.855	8.156	0	0	23.424
LAS1L	0.817	4.071	8.153	0	0	23.399
FAM192A	0.612	4.973	8.152	0	0	23.395
TSNAX	0.752	3.717	8.151	0	0	23.385
CTR9	0.74	4.693	8.149	0	0	23.373
PPP4R3B	0.735	5.336	8.147	0	0	23.364
SFT2D1	0.794	5.126	8.146	0	0	23.355
NFS1	0.791	3.624	8.146	0	0	23.353
IQCE	1.15	4.127	8.145	0	0	23.344
NUTF2	0.877	6.118	8.144	0	0	23.34
C2CD4D	1.281	2.318	8.143	0	0	23.333
KIF3B	1.058	5.367	8.141	0	0	23.322
ZFYVE27	0.966	4.228	8.14	0	0	23.313
VPS72	0.753	4.626	8.139	0	0	23.308
WBP11	0.827	5.493	8.138	0	0	23.299
MAPK15	1.668	2.065	8.136	0	0	23.286
TRAF3IP1	0.8	3.74	8.136	0	0	23.284
FTSJ3	0.876	4.543	8.136	0	0	23.282
SPICE1	0.894	2.666	8.135	0	0	23.281
APOE	2.433	7.532	8.135	0	0	23.277
PDCD6	0.83	4.537	8.134	0	0	23.274
LARP4B	0.934	4.322	8.134	0	0	23.272
SEC23B	1.086	5.883	8.134	0	0	23.27
OLFML2B	2.082	4.547	8.133	0	0	23.266
SLC25A39	0.958	6.92	8.133	0	0	23.264
GRHL2	1.49	3.968	8.132	0	0	23.26
POLR3D	0.882	3.628	8.132	0	0	23.259
DNMT3B	1.612	2.319	8.132	0	0	23.255
FAM167B	1.107	3.527	8.13	0	0	23.241
TMEM87A	0.811	4.681	8.13	0	0	23.241
YY1	0.654	5.401	8.129	0	0	23.239
ETAA1	0.855	3.4	8.128	0	0	23.232
MYCBP	0.827	4.45	8.128	0	0	23.226
C5orf22	0.945	4.302	8.127	0	0	23.226
CLIC1	0.978	8.949	8.126	0	0	23.218
ZW10	0.962	4.178	8.126	0	0	23.216
CTPS2	0.903	3.749	8.124	0	0	23.205
TIAL1	0.647	4.67	8.124	0	0	23.199
NF1	0.97	3.559	8.123	0	0	23.198
HTATSF1	0.9	5.61	8.122	0	0	23.185
TP53I11	1.367	5.858	8.118	0	0	23.16
DNTTIP1	0.968	5.935	8.117	0	0	23.156
ELK1	0.974	5.045	8.115	0	0	23.143
SLC5A7	-0.828	0.285	-8.115	0	0	23.139
UBE3D	0.634	1.466	8.115	0	0	23.137
HNRNPL	0.742	6.263	8.114	0	0	23.134
OGT	1.211	5.125	8.114	0	0	23.133
SERPINE1	2.286	5.648	8.114	0	0	23.133
GSPT1	0.788	5.768	8.112	0	0	23.123
OFD1	0.875	3.834	8.112	0	0	23.12
NDOR1	0.989	4.329	8.112	0	0	23.116
BRAP	0.723	3.919	8.11	0	0	23.107
NCSTN	0.804	6.577	8.11	0	0	23.103
ATG4B	0.683	4.207	8.109	0	0	23.098
RAD9A	0.891	3.481	8.107	0	0	23.086
LPAR2	1.192	4.21	8.104	0	0	23.065
PRPF19	0.909	6.767	8.103	0	0	23.059
PNKD	1.176	5.743	8.103	0	0	23.059
CCDC82	0.832	3.156	8.102	0	0	23.051
ZFP62	0.956	3.894	8.101	0	0	23.046
CCNI2	1.508	2.649	8.1	0	0	23.037
CWC22	0.698	4.567	8.1	0	0	23.034
HARS2	0.753	4.139	8.099	0	0	23.031
YKT6	0.772	5.896	8.099	0	0	23.028
DARS	0.721	6	8.098	0	0	23.022
RCBTB1	1.037	3.978	8.097	0	0	23.016
TMEM41A	0.988	3.631	8.096	0	0	23.009
DCAF1	0.955	4.216	8.096	0	0	23.006
ARMC10	0.916	4.501	8.095	0	0	23.006
ABHD10	0.779	4.597	8.095	0	0	23.005
PDGFRB	1.751	5.733	8.095	0	0	23.004
PSMB1	0.733	7.108	8.094	0	0	22.998
PRIMA1	-2.395	1.964	-8.093	0	0	22.991
MPHOSPH6	0.85	4.389	8.093	0	0	22.988
ZNHIT3	0.673	3.055	8.092	0	0	22.979
NOTCH3	1.688	5.719	8.091	0	0	22.975
HNRNPH3	0.739	5.601	8.09	0	0	22.969
RABEPK	0.708	3.934	8.088	0	0	22.953
LIPG	1.606	2.496	8.087	0	0	22.944
METTL4	0.795	2.693	8.082	0	0	22.914
PDZD8	1.301	4.736	8.078	0	0	22.885
DHX36	0.861	3.757	8.076	0	0	22.871
DNAJC25	0.691	3.313	8.076	0	0	22.87
BCL2L1	1.2	6.483	8.074	0	0	22.857
DDX23	0.843	5.671	8.073	0	0	22.853
ORC4	0.702	3.155	8.072	0	0	22.842
GOPC	0.818	4.435	8.072	0	0	22.841
AKR1C2	-2.196	2.099	-8.07	0	0	22.829
ZSWIM1	0.88	4.479	8.07	0	0	22.828
ADH1B	-2.686	2.405	-8.069	0	0	22.821
COPS7B	0.733	3.744	8.067	0	0	22.811
AGPAT5	1.205	4.404	8.066	0	0	22.803
PSMC4	0.932	6.732	8.064	0	0	22.793
SCAF11	0.842	4.54	8.064	0	0	22.791
ARMC6	0.853	4.246	8.064	0	0	22.789
FNDC1	2.748	3.751	8.062	0	0	22.775
LCOR	0.96	3.924	8.061	0	0	22.772
CHST1	1.316	2.407	8.059	0	0	22.754
ZNF142	0.91	3.986	8.058	0	0	22.746
HSD17B7	0.805	2.666	8.057	0	0	22.745
WARS2	0.744	3.567	8.056	0	0	22.737
MSH6	0.986	3.587	8.055	0	0	22.727
HOXA13	2.502	2.753	8.055	0	0	22.727
HACD3	1.123	5.591	8.052	0	0	22.708
SSBP4	0.933	5.417	8.051	0	0	22.704
MARVELD2	1.219	4.163	8.051	0	0	22.704
NAA50	0.939	5.744	8.051	0	0	22.699
SMIM15	0.777	5.628	8.051	0	0	22.699
MRPL48	0.796	3.951	8.048	0	0	22.681
PPIL4	0.726	4.81	8.048	0	0	22.68
IFITM3	1.312	10.024	8.047	0	0	22.675
CNOT7	0.91	4.331	8.046	0	0	22.669
TAP2	1.246	4.102	8.046	0	0	22.663
PPP1R8	0.666	5.011	8.045	0	0	22.663
TMEM120B	0.713	2.567	8.045	0	0	22.662
PTPRJ	1.303	4.095	8.045	0	0	22.661
ZFP69B	0.951	1.785	8.045	0	0	22.661
PHLDA2	2.045	7.114	8.045	0	0	22.657
MSR1	1.674	2.855	8.045	0	0	22.656
ELF3	1.732	6.754	8.043	0	0	22.649
ARAP3	1.274	3.406	8.043	0	0	22.644
TRIM65	0.877	4.047	8.042	0	0	22.637
NOB1	0.903	5.997	8.042	0	0	22.636
LEMD2	0.742	4.564	8.04	0	0	22.628
WDR33	0.648	3.565	8.04	0	0	22.624
MXRA5	1.963	5.693	8.036	0	0	22.599
SLC52A3	1.532	4.203	8.034	0	0	22.584
PDGFB	1.269	4.091	8.032	0	0	22.573
ZNF618	1.207	3.097	8.032	0	0	22.569
USPL1	0.859	3.758	8.031	0	0	22.563
CSNK2B	0.814	5.747	8.029	0	0	22.551
HOOK1	1.489	3.857	8.029	0	0	22.547
PMS2	0.811	3.096	8.027	0	0	22.535
SLC25A14	0.738	2.599	8.026	0	0	22.53
FUT4	1.469	4.308	8.026	0	0	22.53
MIPEP	1.048	4.097	8.024	0	0	22.519
TNFAIP1	0.826	5.736	8.023	0	0	22.51
POLRMT	0.925	5.157	8.022	0	0	22.499
CIAPIN1	0.814	4.793	8.021	0	0	22.497
PHTF1	0.859	2.469	8.02	0	0	22.492
CCNK	0.8	2.756	8.02	0	0	22.492
SF3B1	0.976	6.265	8.019	0	0	22.485
TTPAL	1.014	3.317	8.018	0	0	22.477
ICA1	1.2	4.308	8.017	0	0	22.469
MTRF1	0.871	2.923	8.016	0	0	22.46
FAM222B	0.829	5.013	8.015	0	0	22.455
MMP14	1.465	7.139	8.015	0	0	22.453
ANKRD13B	1.389	3.19	8.015	0	0	22.452
CEP295	0.959	2.6	8.012	0	0	22.433
PRKX	1.274	3.677	8.01	0	0	22.422
USP24	0.955	4.211	8.007	0	0	22.4
TMEM41B	0.952	4.376	8.007	0	0	22.397
ATP6V0B	0.797	6.306	8.006	0	0	22.395
MDC1	1.027	3.896	8.006	0	0	22.391
ZMYND15	1.218	2.485	8.004	0	0	22.377
GLE1	0.916	5.017	8.002	0	0	22.366
ZNF343	0.824	2.786	8.002	0	0	22.366
HMGB2	1.116	6.36	8.001	0	0	22.36
HSH2D	1.298	3.918	8.001	0	0	22.356
SMAD6	1.211	3.337	8.001	0	0	22.356
DPP6	-1.164	0.447	-7.997	0	0	22.333
ADCY3	1.145	4.127	7.997	0	0	22.332
METTL2B	0.785	3.333	7.997	0	0	22.33
CDK10	0.828	3.979	7.997	0	0	22.329
TCF19	1.155	4.301	7.993	0	0	22.306
GGH	1.938	4.599	7.992	0	0	22.301
TMEM104	0.98	4	7.992	0	0	22.3
PAXBP1	0.931	3.424	7.99	0	0	22.287
DHFR	1.005	3.703	7.986	0	0	22.26
FBXO41	1.335	2.602	7.985	0	0	22.251
PTGES2	0.959	5.694	7.985	0	0	22.249
FRMD5	1.33	1.875	7.985	0	0	22.248
FARP2	0.926	3.72	7.983	0	0	22.234
SAMD12	1.285	2.931	7.982	0	0	22.23
CNOT6	0.891	4.276	7.982	0	0	22.227
NGDN	0.699	3.483	7.982	0	0	22.227
SUGT1	0.719	3.666	7.981	0	0	22.223
LMLN	0.871	2.126	7.979	0	0	22.212
AP4B1	0.79	3.072	7.979	0	0	22.208
VCAN	1.912	4.717	7.979	0	0	22.208
NUP153	1.012	5.024	7.978	0	0	22.204
TMED2	0.763	7.482	7.978	0	0	22.2
WDCP	0.819	2.593	7.974	0	0	22.178
TTC17	0.798	4.082	7.973	0	0	22.169
SKIL	1.21	4.915	7.973	0	0	22.167
PDIK1L	0.892	3.169	7.971	0	0	22.157
CTBP2	0.935	4.699	7.971	0	0	22.156
TCIRG1	0.992	5.907	7.971	0	0	22.153
NUP88	0.787	4.474	7.97	0	0	22.148
ELP1	0.877	4.181	7.969	0	0	22.139
KIAA1217	1.131	4.827	7.968	0	0	22.135
MROH1	1.033	4.28	7.968	0	0	22.132
FCF1	0.627	4.168	7.967	0	0	22.128
JAG2	1.312	3.513	7.965	0	0	22.114
C8orf33	0.987	5.348	7.965	0	0	22.113
SSBP1	0.734	4.958	7.964	0	0	22.11
RUNDC1	0.74	4.316	7.964	0	0	22.109
RNF168	0.815	3.678	7.963	0	0	22.098
PTPN6	1.073	4.613	7.959	0	0	22.071
PDS5A	0.927	4.91	7.956	0	0	22.055
TMX2	0.797	6.597	7.956	0	0	22.052
PSMC3IP	0.853	2.13	7.955	0	0	22.048
ACER3	0.898	3.982	7.954	0	0	22.039
PSMC6	0.719	4.324	7.953	0	0	22.032
DHX16	0.792	4.813	7.953	0	0	22.031
MCTS1	0.742	4.975	7.952	0	0	22.024
ARHGAP18	1.024	4.542	7.95	0	0	22.015
MED30	0.845	4.523	7.946	0	0	21.987
NFYB	0.751	3.924	7.945	0	0	21.979
SMARCA5	0.893	4.942	7.945	0	0	21.976
FASTKD2	0.808	3.928	7.944	0	0	21.969
P4HA3	1.147	1.513	7.943	0	0	21.968
KCNJ14	0.824	1.286	7.939	0	0	21.934
SLC7A6	1.026	2.48	7.937	0	0	21.921
SELENOI	1.162	4.211	7.936	0	0	21.92
CELF1	0.779	4.928	7.936	0	0	21.916
TRIM37	0.936	3.889	7.936	0	0	21.915
KDM1B	1.1	4.47	7.935	0	0	21.912
NCAM1	-1.663	1.322	-7.933	0	0	21.9
EPS8L3	2.147	5.598	7.932	0	0	21.89
SMARCA4	1.006	5.196	7.931	0	0	21.886
PABPC1	1.026	10.111	7.931	0	0	21.881
SDCCAG8	0.708	3.423	7.928	0	0	21.862
ENPP3	-1.107	0.663	-7.927	0	0	21.856
TMEM97	1.405	5.722	7.926	0	0	21.852
ZBTB41	1.047	3.133	7.926	0	0	21.851
MFAP2	2.003	3.845	7.926	0	0	21.848
RMND1	0.795	4.014	7.925	0	0	21.845
PPP3R1	0.629	5.156	7.924	0	0	21.839
SLC28A1	-0.917	0.349	-7.923	0	0	21.831
PRKRIP1	0.74	3.755	7.923	0	0	21.829
ATF1	0.705	4.639	7.922	0	0	21.821
THBS2	2.552	5.247	7.922	0	0	21.821
INTS2	0.954	3.081	7.92	0	0	21.812
TM9SF2	0.913	7.44	7.92	0	0	21.809
PLOD1	1.026	6.062	7.919	0	0	21.804
PELP1	0.914	4.832	7.918	0	0	21.799
GALNS	0.926	3.273	7.918	0	0	21.796
EPSTI1	1.663	4.353	7.918	0	0	21.794
COPA	0.864	6.906	7.917	0	0	21.791
ZNF766	0.781	2.808	7.917	0	0	21.787
SLC39A7	0.989	6.718	7.916	0	0	21.781
MON1B	0.744	4.923	7.914	0	0	21.77
CHCHD7	0.818	3.493	7.914	0	0	21.769
ITGA6	1.441	6.622	7.913	0	0	21.761
CCZ1B	0.754	1.965	7.911	0	0	21.747
GRB7	2.358	5.076	7.911	0	0	21.746
IL18BP	1.416	3.752	7.91	0	0	21.739
SRSF3	0.669	6.226	7.909	0	0	21.736
COL12A1	1.981	5.415	7.908	0	0	21.729
FNBP1L	1.143	4.779	7.907	0	0	21.723
AHR	1.175	6.147	7.905	0	0	21.707
TENT4A	0.977	4.086	7.903	0	0	21.694
P2RY6	1.353	2.515	7.902	0	0	21.689
KDELR1	0.805	8.348	7.902	0	0	21.685
ALS2	0.804	2.991	7.901	0	0	21.684
YARS	0.846	4.741	7.9	0	0	21.677
HNRNPH1	0.888	5.573	7.9	0	0	21.675
SHKBP1	0.919	5.934	7.899	0	0	21.665
GKN2	-4.718	2.912	-7.897	0	0	21.651
VANGL1	0.975	3.634	7.897	0	0	21.651
TNPO3	0.759	5.294	7.896	0	0	21.648
LMBR1	0.898	3.61	7.896	0	0	21.645
SLTM	0.783	4.988	7.894	0	0	21.632
ORC3	0.868	4.135	7.893	0	0	21.63
SEPHS1	0.796	5.077	7.893	0	0	21.626
ENOX2	0.893	3.496	7.892	0	0	21.623
PRRC1	0.859	4.487	7.891	0	0	21.612
GID8	0.914	5.462	7.89	0	0	21.607
APLN	1.868	2.549	7.886	0	0	21.58
NOMO1	0.856	4.726	7.885	0	0	21.571
ADCK5	1.067	3.918	7.88	0	0	21.541
ERVK3-1	0.788	3.072	7.88	0	0	21.539
ABCF3	0.775	4.47	7.879	0	0	21.535
ASAP1	1.06	4.143	7.879	0	0	21.534
SCRIB	1.228	5.912	7.879	0	0	21.532
VAMP7	0.819	5.485	7.879	0	0	21.531
RAPGEF6	0.657	1.926	7.878	0	0	21.524
SIKE1	0.798	4.153	7.877	0	0	21.522
TBCCD1	0.822	3.531	7.876	0	0	21.511
ZNF182	0.899	2.632	7.876	0	0	21.511
SH3BP2	0.829	3.545	7.875	0	0	21.506
TRIM33	0.846	4.422	7.875	0	0	21.505
MRPL30	0.692	4.845	7.874	0	0	21.498
C4orf48	1.775	5.385	7.873	0	0	21.495
TATDN2	0.714	3.674	7.872	0	0	21.488
OSGEPL1	0.706	2.402	7.872	0	0	21.484
CXCL8	2.946	5.354	7.868	0	0	21.461
FXYD5	1.351	6.944	7.866	0	0	21.445
MTCH2	0.769	6.239	7.866	0	0	21.443
BCLAF1	0.794	5.315	7.865	0	0	21.439
ALYREF	0.968	6.274	7.862	0	0	21.417
TRMT10C	0.827	4.851	7.86	0	0	21.405
SPNS1	0.804	2.118	7.86	0	0	21.404
POM121C	0.986	4.322	7.859	0	0	21.4
TRRAP	1.174	4.651	7.859	0	0	21.396
MMP9	2.346	4.863	7.859	0	0	21.396
CAPN10	0.804	2.862	7.858	0	0	21.39
C1orf74	0.716	1.712	7.858	0	0	21.388
ANGEL2	0.746	3.246	7.857	0	0	21.386
HNRNPAB	0.872	7.825	7.856	0	0	21.38
ARF1	0.673	8.742	7.856	0	0	21.378
TRUB2	0.735	4.185	7.856	0	0	21.374
PARP12	1.071	4.636	7.856	0	0	21.374
LSM4	0.875	6.069	7.855	0	0	21.372
TMEM241	0.951	2.639	7.855	0	0	21.368
HNRNPLL	0.678	4.257	7.853	0	0	21.358
RDM1	0.992	1.349	7.853	0	0	21.355
AGFG1	0.824	4.825	7.852	0	0	21.354
ATXN7L2	0.715	1.986	7.852	0	0	21.35
PRPF38A	0.67	4.361	7.852	0	0	21.348
BEND3	1.073	2.746	7.851	0	0	21.345
ARPC5L	0.753	5.067	7.851	0	0	21.345
MORC4	1.271	3.759	7.851	0	0	21.344
SLC35B3	0.806	4.953	7.851	0	0	21.343
PIGF	0.742	2.695	7.85	0	0	21.335
ATP1A2	-2.252	1.478	-7.849	0	0	21.333
LIG3	0.872	2.85	7.849	0	0	21.333
ZBED6CL	1.188	3.199	7.849	0	0	21.332
IGFBP3	1.711	6.62	7.848	0	0	21.325
BAIAP2L1	1.537	5.733	7.848	0	0	21.324
ZNF3	0.889	4.063	7.848	0	0	21.323
RPUSD1	0.996	4.679	7.848	0	0	21.322
RRM2B	1.042	4.125	7.847	0	0	21.318
C12orf43	0.595	2.846	7.844	0	0	21.3
DBR1	1.138	4.242	7.841	0	0	21.28
LIMS1	0.928	4.746	7.84	0	0	21.273
TFRC	1.584	5.863	7.839	0	0	21.265
TSPAN17	0.843	4.158	7.838	0	0	21.258
SMARCAD1	0.933	4.062	7.838	0	0	21.256
RTEL1-TNFRSF6B	0.952	1.413	7.838	0	0	21.254
ZNF251	0.955	3.09	7.834	0	0	21.23
TMEM170A	0.799	3.763	7.834	0	0	21.229
PRPF31	0.751	5.204	7.833	0	0	21.222
PSMB4	0.766	7.437	7.832	0	0	21.219
DAXX	0.752	5.323	7.83	0	0	21.205
ANO9	1.52	3.95	7.829	0	0	21.193
AKR1B15	-1.253	0.661	-7.827	0	0	21.181
C2orf69	0.689	3.941	7.826	0	0	21.174
MSANTD2	0.79	2.875	7.825	0	0	21.168
PFDN4	1.05	4.778	7.825	0	0	21.168
ABRAXAS2	0.688	4.424	7.824	0	0	21.16
NEPRO	0.764	3.793	7.823	0	0	21.157
PISD	0.746	4.013	7.822	0	0	21.149
GFPT1	1.178	5.761	7.821	0	0	21.143
PSMF1	0.725	6.323	7.82	0	0	21.135
CRLS1	0.888	5.027	7.82	0	0	21.133
ANKRD49	0.858	3.599	7.818	0	0	21.121
SPRED1	0.918	4.105	7.817	0	0	21.117
DHODH	0.664	2.305	7.816	0	0	21.112
PSMC2	0.769	5.857	7.815	0	0	21.105
EXT1	0.906	4.752	7.815	0	0	21.104
SIPA1L3	1.279	5.093	7.815	0	0	21.102
ATP6AP1	0.861	6.386	7.814	0	0	21.097
CTSB	1.26	8.436	7.814	0	0	21.097
CCNL2	1.094	4.685	7.814	0	0	21.096
SDAD1	0.855	4.487	7.813	0	0	21.091
HNRNPA1L2	0.708	1.929	7.813	0	0	21.089
KRT24	-1.436	0.414	-7.812	0	0	21.082
LUC7L3	1.016	5.209	7.81	0	0	21.067
DDX49	0.79	5.015	7.809	0	0	21.062
ERCC5	0.696	3.159	7.806	0	0	21.044
BIVM-ERCC5	0.696	3.159	7.806	0	0	21.044
ACIN1	0.726	5.23	7.806	0	0	21.043
GPN3	0.755	3.921	7.806	0	0	21.041
ASAH2	-1.124	0.843	-7.8	0	0	21.005
RAB13	0.786	6.306	7.8	0	0	21.001
ANP32B	0.708	7.8	7.799	0	0	20.995
YME1L1	0.782	5.619	7.798	0	0	20.991
MYO1E	1.073	4.93	7.796	0	0	20.972
TBC1D7	0.718	2.452	7.795	0	0	20.971
SLC25A10	1.219	4.082	7.794	0	0	20.962
RELB	1.042	4.891	7.793	0	0	20.955
COPB2	0.879	5.821	7.791	0	0	20.943
PNPO	1.01	4.8	7.79	0	0	20.937
BPTF	0.832	4.351	7.79	0	0	20.937
TRIM50	-1.347	0.56	-7.79	0	0	20.935
PCBP2	0.615	6.111	7.788	0	0	20.919
SYMPK	0.906	4.65	7.787	0	0	20.914
MYO7A	1.177	2.065	7.786	0	0	20.91
UFD1	0.636	4.01	7.786	0	0	20.906
UBE2QL1	-0.985	0.915	-7.785	0	0	20.902
TAF3	0.777	3.971	7.784	0	0	20.893
GSK3B	0.813	4.757	7.782	0	0	20.884
CCDC112	0.865	3.184	7.782	0	0	20.883
PPT1	0.962	6.512	7.78	0	0	20.871
CHAMP1	0.884	4.782	7.78	0	0	20.868
API5	0.824	5.987	7.778	0	0	20.854
SLC15A4	0.778	3.622	7.777	0	0	20.845
RNF220	0.654	3.946	7.776	0	0	20.843
SFRP1	-2.705	2.487	-7.776	0	0	20.841
EIF3A	0.842	6.665	7.776	0	0	20.841
LRRC42	0.832	4.644	7.775	0	0	20.837
ARHGEF39	1.132	2.604	7.775	0	0	20.836
PHF8	0.865	3.832	7.775	0	0	20.835
IL32	1.752	6.605	7.774	0	0	20.828
SFR1	0.855	3.708	7.773	0	0	20.82
KHSRP	0.888	7.01	7.772	0	0	20.817
PRKCSH	0.859	7.288	7.772	0	0	20.816
FGD6	1.223	3.462	7.772	0	0	20.812
CAMKMT	0.676	2.59	7.771	0	0	20.807
R3HDM2	0.774	4.309	7.768	0	0	20.786
INIP	0.661	4.007	7.765	0	0	20.771
TOP3A	0.873	3.598	7.765	0	0	20.765
CHSY3	0.998	1.633	7.762	0	0	20.746
GEMIN5	0.918	3.753	7.761	0	0	20.742
LBHD1	0.693	1.549	7.761	0	0	20.738
SPINK2	-1.025	0.638	-7.76	0	0	20.736
C5orf51	0.871	4.556	7.76	0	0	20.735
RNF170	0.763	3.401	7.76	0	0	20.731
PSEN1	0.712	4.582	7.758	0	0	20.72
CPA2	-2.332	1.207	-7.757	0	0	20.713
PPP4R3A	0.761	4.983	7.756	0	0	20.708
MUC13	2.868	7.65	7.754	0	0	20.697
HOXC6	1.502	2.046	7.754	0	0	20.696
SLC45A4	1.132	3.914	7.753	0	0	20.688
GLRX2	0.691	4.084	7.752	0	0	20.683
ALG2	0.683	5.023	7.751	0	0	20.676
SRSF9	0.778	5.256	7.751	0	0	20.674
DIP2B	1.027	4.215	7.751	0	0	20.673
CHI3L1	2.413	4.138	7.751	0	0	20.673
ZNF814	0.849	1.978	7.749	0	0	20.664
ENGASE	1.022	3.261	7.749	0	0	20.663
PKM	1.123	8.16	7.748	0	0	20.655
LAMTOR5	0.657	6.271	7.748	0	0	20.653
TRIM28	1.067	7.717	7.748	0	0	20.653
UCKL1	0.882	5.201	7.746	0	0	20.639
SAYSD1	0.657	3.805	7.745	0	0	20.635
THEM4	0.976	3.711	7.743	0	0	20.625
NPAS4	-0.65	0.31	-7.742	0	0	20.617
RTCA	0.659	4.806	7.742	0	0	20.616
EMILIN3	-0.936	0.727	-7.741	0	0	20.611
SRP54	0.703	4.979	7.741	0	0	20.608
CRTC2	0.748	5.164	7.741	0	0	20.605
ABHD15	0.888	4.065	7.739	0	0	20.596
MINPP1	0.977	4.166	7.738	0	0	20.591
VEZT	0.813	4.154	7.738	0	0	20.588
ZNF28	1.23	3.176	7.736	0	0	20.578
ZC3H15	0.853	5.66	7.736	0	0	20.574
DSG2	1.787	6.86	7.736	0	0	20.573
ZNF720	0.609	2.178	7.734	0	0	20.564
TSLP	-0.707	0.595	-7.734	0	0	20.563
EIF3M	0.767	5.355	7.734	0	0	20.561
COL4A6	-1.667	1.308	-7.733	0	0	20.556
SSH2	0.804	3.069	7.732	0	0	20.55
TYMP	1.598	6.14	7.732	0	0	20.548
R3HDM4	0.813	6.306	7.731	0	0	20.54
KDELR3	1.44	6.189	7.73	0	0	20.537
ADCK1	0.605	2.691	7.729	0	0	20.527
PRKAA1	0.967	5.509	7.728	0	0	20.521
CHRNA5	1.019	1.88	7.728	0	0	20.518
RPAP2	0.688	2.162	7.726	0	0	20.511
NUDT3	0.693	2.946	7.725	0	0	20.5
DCAF17	0.752	3.152	7.724	0	0	20.498
DOLK	0.787	4.656	7.724	0	0	20.493
ZFP41	0.988	2.624	7.722	0	0	20.484
GRSF1	0.761	4.964	7.721	0	0	20.474
NUS1	0.773	4.449	7.72	0	0	20.471
CNNM2	0.758	2.297	7.72	0	0	20.469
RBPJ	0.762	4.8	7.718	0	0	20.456
USB1	0.698	4.266	7.718	0	0	20.456
DIS3L2	0.595	2.723	7.718	0	0	20.452
LBX2	1.046	1.479	7.716	0	0	20.444
RHBDD2	0.938	6.853	7.715	0	0	20.437
CHCHD1	0.772	5.696	7.712	0	0	20.414
PRPF4B	0.822	4.79	7.71	0	0	20.403
REPIN1	1.077	6.691	7.71	0	0	20.402
OLA1	0.826	5.358	7.71	0	0	20.4
TRPC4AP	0.854	6.324	7.71	0	0	20.399
CCZ1	0.717	1.895	7.708	0	0	20.39
SNRPD2	0.785	7.427	7.706	0	0	20.375
RNF24	1.065	3.998	7.705	0	0	20.369
NSUN6	0.746	2.74	7.705	0	0	20.366
CASC4	0.856	5.501	7.704	0	0	20.362
DCAF12	0.967	5.414	7.702	0	0	20.351
HKDC1	2.243	3.955	7.7	0	0	20.336
PLPP2	1.527	4.767	7.7	0	0	20.335
SEC61A1	0.911	7.467	7.698	0	0	20.32
SLC7A3	-0.73	0.326	-7.697	0	0	20.318
MIOS	0.813	3.508	7.697	0	0	20.315
RALGAPA2	1.222	4.704	7.697	0	0	20.314
TCF20	1.065	4.818	7.697	0	0	20.312
NAA20	0.853	5.715	7.696	0	0	20.31
FJX1	1.191	2.903	7.696	0	0	20.306
ANKS6	0.995	3.518	7.694	0	0	20.298
YIF1B	0.925	4.709	7.691	0	0	20.279
TRAF5	1.12	3.1	7.691	0	0	20.276
CCDC150	0.648	0.748	7.689	0	0	20.265
DIMT1	0.707	4.591	7.688	0	0	20.259
ZNF263	0.723	3.363	7.688	0	0	20.253
USF1	0.673	5.361	7.686	0	0	20.245
NOL7	0.706	6.018	7.685	0	0	20.234
TP53RK	0.755	4.218	7.684	0	0	20.227
DFFB	0.892	2.732	7.684	0	0	20.226
BLCAP	0.827	4.562	7.683	0	0	20.221
ZMYM4	0.823	4.269	7.682	0	0	20.219
ZNF780A	0.763	2.245	7.682	0	0	20.217
RBCK1	0.857	6.169	7.681	0	0	20.212
MC1R	0.792	1.283	7.681	0	0	20.208
VRK2	0.931	3.815	7.681	0	0	20.207
CHUK	0.839	3.63	7.679	0	0	20.199
NPL	1.056	3.052	7.679	0	0	20.198
ZBTB2	0.731	4.303	7.678	0	0	20.193
TRA2A	0.655	5.306	7.678	0	0	20.192
CTDSPL2	0.822	3.555	7.678	0	0	20.191
ZNF616	0.801	2.524	7.678	0	0	20.189
GLMN	0.864	2.792	7.678	0	0	20.188
UBA1	0.783	7.427	7.678	0	0	20.188
CENPJ	0.996	2.71	7.677	0	0	20.184
RPF1	0.642	5.525	7.676	0	0	20.176
INO80	0.785	4.176	7.673	0	0	20.158
PRPF6	0.883	6.574	7.673	0	0	20.157
TCTE3	0.711	1.355	7.671	0	0	20.142
